co_number,fips_code,cnty,county_name
239,48477,477,WASHINGTON
240,48479,479,WEBB
241,48481,481,WHARTON
242,48483,483,WHEELER
243,48485,485,WICHITA
244,48487,487,WILBARGER
245,48489,489,WILLACY
246,48491,491,WILLIAMSON
247,48493,493,WILSON
248,48495,495,WINKLER
249,48497,497,WISE
250,48499,499,WOOD
251,48501,501,YOAKUM
252,48503,503,YOUNG
253,48505,505,ZAPATA
254,48507,507,ZAVALA
