county,precinct,vr,to,ssvr,Office,Candidate,votes
Anderson,1,1799,1030,7.2,President,Clinton,262
Anderson,1,1799,1030,7.2,President,Trump,742
Anderson,1,1799,1030,7.2,President,Johnson,18
Anderson,1,1799,1030,7.2,President,Stein,5
Anderson,1,1799,1030,7.2,President,Write-In,3
Anderson,2,2455,1532,3.9,President,Clinton,181
Anderson,2,2455,1532,3.9,President,Trump,1318
Anderson,2,2455,1532,3.9,President,Johnson,22
Anderson,2,2455,1532,3.9,President,Stein,5
Anderson,2,2455,1532,3.9,President,Write-In,6
Anderson,3,1195,776,4.4,President,Clinton,94
Anderson,3,1195,776,4.4,President,Trump,663
Anderson,3,1195,776,4.4,President,Johnson,16
Anderson,3,1195,776,4.4,President,Stein,2
Anderson,3,1195,776,4.4,President,Write-In,1
Anderson,4,1525,985,2.6,President,Clinton,96
Anderson,4,1525,985,2.6,President,Trump,869
Anderson,4,1525,985,2.6,President,Johnson,17
Anderson,4,1525,985,2.6,President,Stein,2
Anderson,4,1525,985,2.6,President,Write-In,1
Anderson,5,282,191,2.5,President,Clinton,9
Anderson,5,282,191,2.5,President,Trump,180
Anderson,5,282,191,2.5,President,Johnson,2
Anderson,5,282,191,2.5,President,Stein,0
Anderson,5,282,191,2.5,President,Write-In,0
Anderson,6,1465,698,8.3,President,Clinton,334
Anderson,6,1465,698,8.3,President,Trump,348
Anderson,6,1465,698,8.3,President,Johnson,12
Anderson,6,1465,698,8.3,President,Stein,3
Anderson,6,1465,698,8.3,President,Write-In,1
Anderson,7,1396,588,16.9,President,Clinton,452
Anderson,7,1396,588,16.9,President,Trump,128
Anderson,7,1396,588,16.9,President,Johnson,3
Anderson,7,1396,588,16.9,President,Stein,3
Anderson,7,1396,588,16.9,President,Write-In,2
Anderson,8,348,150,16.7,President,Clinton,98
Anderson,8,348,150,16.7,President,Trump,49
Anderson,8,348,150,16.7,President,Johnson,2
Anderson,8,348,150,16.7,President,Stein,1
Anderson,8,348,150,16.7,President,Write-In,0
Anderson,9,1251,774,4.3,President,Clinton,146
Anderson,9,1251,774,4.3,President,Trump,605
Anderson,9,1251,774,4.3,President,Johnson,20
Anderson,9,1251,774,4.3,President,Stein,2
Anderson,9,1251,774,4.3,President,Write-In,1
Anderson,10,576,336,6.6,President,Clinton,37
Anderson,10,576,336,6.6,President,Trump,296
Anderson,10,576,336,6.6,President,Johnson,3
Anderson,10,576,336,6.6,President,Stein,0
Anderson,10,576,336,6.6,President,Write-In,0
Anderson,11,1253,739,4.2,President,Clinton,130
Anderson,11,1253,739,4.2,President,Trump,592
Anderson,11,1253,739,4.2,President,Johnson,15
Anderson,11,1253,739,4.2,President,Stein,2
Anderson,11,1253,739,4.2,President,Write-In,0
Anderson,13,1751,1055,9.3,President,Clinton,268
Anderson,13,1751,1055,9.3,President,Trump,749
Anderson,13,1751,1055,9.3,President,Johnson,30
Anderson,13,1751,1055,9.3,President,Stein,7
Anderson,13,1751,1055,9.3,President,Write-In,1
Anderson,15,915,606,4.7,President,Clinton,84
Anderson,15,915,606,4.7,President,Trump,514
Anderson,15,915,606,4.7,President,Johnson,7
Anderson,15,915,606,4.7,President,Stein,1
Anderson,15,915,606,4.7,President,Write-In,0
Anderson,16,800,511,4,President,Clinton,78
Anderson,16,800,511,4,President,Trump,413
Anderson,16,800,511,4,President,Johnson,13
Anderson,16,800,511,4,President,Stein,5
Anderson,16,800,511,4,President,Write-In,2
Anderson,17,816,505,6.3,President,Clinton,119
Anderson,17,816,505,6.3,President,Trump,374
Anderson,17,816,505,6.3,President,Johnson,10
Anderson,17,816,505,6.3,President,Stein,1
Anderson,17,816,505,6.3,President,Write-In,1
Anderson,18,2036,1297,2.6,President,Clinton,185
Anderson,18,2036,1297,2.6,President,Trump,1090
Anderson,18,2036,1297,2.6,President,Johnson,17
Anderson,18,2036,1297,2.6,President,Stein,2
Anderson,18,2036,1297,2.6,President,Write-In,3
Anderson,19,2241,1289,8,President,Clinton,264
Anderson,19,2241,1289,8,President,Trump,995
Anderson,19,2241,1289,8,President,Johnson,27
Anderson,19,2241,1289,8,President,Stein,1
Anderson,19,2241,1289,8,President,Write-In,2
Anderson,20,1155,664,14,President,Clinton,154
Anderson,20,1155,664,14,President,Trump,488
Anderson,20,1155,664,14,President,Johnson,16
Anderson,20,1155,664,14,President,Stein,5
Anderson,20,1155,664,14,President,Write-In,1
Anderson,21,1802,1121,6.5,President,Clinton,138
Anderson,21,1802,1121,6.5,President,Trump,940
Anderson,21,1802,1121,6.5,President,Johnson,31
Anderson,21,1802,1121,6.5,President,Stein,6
Anderson,21,1802,1121,6.5,President,Write-In,6
Anderson,22,981,703,3.7,President,Clinton,107
Anderson,22,981,703,3.7,President,Trump,584
Anderson,22,981,703,3.7,President,Johnson,7
Anderson,22,981,703,3.7,President,Stein,0
Anderson,22,981,703,3.7,President,Write-In,5
Anderson,23,1269,884,3.2,President,Clinton,91
Anderson,23,1269,884,3.2,President,Trump,768
Anderson,23,1269,884,3.2,President,Johnson,16
Anderson,23,1269,884,3.2,President,Stein,4
Anderson,23,1269,884,3.2,President,Write-In,5
Anderson,24,785,547,2.9,President,Clinton,42
Anderson,24,785,547,2.9,President,Trump,501
Anderson,24,785,547,2.9,President,Johnson,4
Anderson,24,785,547,2.9,President,Stein,0
Anderson,24,785,547,2.9,President,Write-In,0
Andrews,1,2220,1133,41.6,President,Clinton,215
Andrews,1,2220,1133,41.6,President,Trump,872
Andrews,1,2220,1133,41.6,President,Johnson,37
Andrews,1,2220,1133,41.6,President,Stein,6
Andrews,1,2220,1133,41.6,President,Write-In,3
Andrews,2,2725,1681,26.9,President,Clinton,222
Andrews,2,2725,1681,26.9,President,Trump,1392
Andrews,2,2725,1681,26.9,President,Johnson,51
Andrews,2,2725,1681,26.9,President,Stein,6
Andrews,2,2725,1681,26.9,President,Write-In,10
Andrews,3,2210,1191,37.4,President,Clinton,211
Andrews,3,2210,1191,37.4,President,Trump,944
Andrews,3,2210,1191,37.4,President,Johnson,29
Andrews,3,2210,1191,37.4,President,Stein,5
Andrews,3,2210,1191,37.4,President,Write-In,2
Andrews,4,1996,939,47.8,President,Clinton,190
Andrews,4,1996,939,47.8,President,Trump,716
Andrews,4,1996,939,47.8,President,Johnson,30
Andrews,4,1996,939,47.8,President,Stein,3
Andrews,4,1996,939,47.8,President,Write-In,0
Angelina,1,588,275,24.3,President,Clinton,120
Angelina,1,588,275,24.3,President,Trump,150
Angelina,1,588,275,24.3,President,Johnson,2
Angelina,1,588,275,24.3,President,Stein,2
Angelina,1,588,275,24.3,President,Write-In,0
Angelina,2,2663,1189,17.8,President,Clinton,862
Angelina,2,2663,1189,17.8,President,Trump,290
Angelina,2,2663,1189,17.8,President,Johnson,22
Angelina,2,2663,1189,17.8,President,Stein,4
Angelina,2,2663,1189,17.8,President,Write-In,6
Angelina,3,1962,1126,10.4,President,Clinton,183
Angelina,3,1962,1126,10.4,President,Trump,900
Angelina,3,1962,1126,10.4,President,Johnson,24
Angelina,3,1962,1126,10.4,President,Stein,2
Angelina,3,1962,1126,10.4,President,Write-In,11
Angelina,4,1528,737,12.8,President,Clinton,313
Angelina,4,1528,737,12.8,President,Trump,406
Angelina,4,1528,737,12.8,President,Johnson,10
Angelina,4,1528,737,12.8,President,Stein,3
Angelina,4,1528,737,12.8,President,Write-In,4
Angelina,5,1990,1034,13.8,President,Clinton,405
Angelina,5,1990,1034,13.8,President,Trump,585
Angelina,5,1990,1034,13.8,President,Johnson,21
Angelina,5,1990,1034,13.8,President,Stein,3
Angelina,5,1990,1034,13.8,President,Write-In,7
Angelina,6,443,284,4.1,President,Clinton,38
Angelina,6,443,284,4.1,President,Trump,238
Angelina,6,443,284,4.1,President,Johnson,5
Angelina,6,443,284,4.1,President,Stein,1
Angelina,6,443,284,4.1,President,Write-In,1
Angelina,7,1104,786,5.1,President,Clinton,63
Angelina,7,1104,786,5.1,President,Trump,696
Angelina,7,1104,786,5.1,President,Johnson,14
Angelina,7,1104,786,5.1,President,Stein,0
Angelina,7,1104,786,5.1,President,Write-In,12
Angelina,8,1132,807,3.1,President,Clinton,59
Angelina,8,1132,807,3.1,President,Trump,722
Angelina,8,1132,807,3.1,President,Johnson,14
Angelina,8,1132,807,3.1,President,Stein,4
Angelina,8,1132,807,3.1,President,Write-In,4
Angelina,9,279,195,5.4,President,Clinton,44
Angelina,9,279,195,5.4,President,Trump,133
Angelina,9,279,195,5.4,President,Johnson,6
Angelina,9,279,195,5.4,President,Stein,1
Angelina,9,279,195,5.4,President,Write-In,6
Angelina,10,1390,715,15,President,Clinton,311
Angelina,10,1390,715,15,President,Trump,379
Angelina,10,1390,715,15,President,Johnson,12
Angelina,10,1390,715,15,President,Stein,5
Angelina,10,1390,715,15,President,Write-In,4
Angelina,11,2060,1340,3.6,President,Clinton,123
Angelina,11,2060,1340,3.6,President,Trump,1193
Angelina,11,2060,1340,3.6,President,Johnson,11
Angelina,11,2060,1340,3.6,President,Stein,3
Angelina,11,2060,1340,3.6,President,Write-In,6
Angelina,12,889,559,5.1,President,Clinton,79
Angelina,12,889,559,5.1,President,Trump,460
Angelina,12,889,559,5.1,President,Johnson,10
