CNTYVTD,VTDKEY,AbbottR_18G_Governor,ValdezD_18G_Governor,TippettsL_18G_Governor
"0270402",239,908,797,27
"0270404",240,559,976,25
"0270405",241,426,943,22
"0270406",242,547,498,19
"0270408",243,610,965,13
"0270409",244,479,416,23
"0270410",245,282,429,14
"0270412",246,394,925,16
"0270413",247,429,806,18
"0270414",248,440,1044,26
"0270415",249,526,824,21
"0270419",250,448,172,8
"0291001",251,103,303,5
"0291002",252,142,210,5
"0291003",253,198,773,22
"0291004",254,64,257,4
"0291005",255,72,220,5
"0291006",256,220,641,3
"0291007",257,166,424,6
"0291008",258,182,828,18
"0291009",259,339,435,10
"0291010",260,68,241,5
"0291011",261,108,285,7
"0291012",262,301,523,20
"0291013",263,184,746,14
"0291014",264,91,359,4
"0291015",265,110,355,5
"0291016",266,99,325,6
"0291017",267,39,53,0
"0291018",268,87,244,6
"0291019",269,79,224,4
"0291020",270,194,463,8
"0291021",271,188,461,7
"0291022",272,105,264,4
"0291023",273,168,677,10
"0291024",274,585,851,21
"0291025",275,37,139,2
"0291026",276,95,359,4
"0291027",277,49,65,3
"0291028",278,88,203,5
"0291029",279,187,558,7
"0291030",280,8,7,2
"0291031",281,119,409,6
"0291032",282,161,639,14
"0291033",283,253,417,21
"0291034",284,781,720,24
"0291035",285,114,95,4
"0291036",286,648,825,28
"0291037",287,295,607,7
"0291038",288,464,779,16
"0291039",289,210,619,10
"0291040",290,240,709,17
"0291041",291,159,546,9
"0291042",292,110,321,3
"0291043",293,218,384,3
"0291044",294,238,638,11
"0291045",295,363,928,15
"0291046",296,205,618,3
"0291047",297,176,445,5
"0291048",298,245,596,8
"0291049",299,280,659,9
"0291050",300,134,228,6
"0291051",301,333,480,8
"0291052",302,259,522,8
"0291053",303,31,60,0
"0291054",304,292,651,9
"0291055",305,404,607,19
"0291056",306,450,710,15
"0291057",307,455,402,17
"0291058",308,516,477,15
"0291059",309,63,73,2
"0291060",310,255,767,11
"0291061",311,214,632,11
"0291062",312,35,26,0
"0291063",313,397,338,13
"0291064",314,254,244,8
"0291065",315,486,452,12
"0291066",316,112,170,4
"0291067",317,827,488,14
"0291068",318,241,274,15
"0291069",319,154,130,6
"0291070",320,162,255,5
"0291071",321,359,502,13
"0291072",322,256,590,15
"0291073",323,830,979,28
"0291074",324,4,5,0
"0291075",325,196,511,7
"0291076",326,495,753,23
"0291077",327,157,520,5
"0291078",328,43,156,0
"0291079",329,439,690,26
"0291080",330,341,804,17
"0291081",331,622,231,18
"0291082",332,506,778,24
"0291083",333,643,837,25
"0291084",334,266,464,12
"0291085",335,206,421,3
"0291086",336,397,676,12
"0291087",337,186,385,9
"0291088",338,85,252,2
"0291089",339,5,16,0
"0291090",340,0,0,0
"0291091",341,327,626,15
"0291092",342,85,232,3
"0291093",343,195,238,14
"0291094",344,277,478,14
"0291095",345,37,44,4
"0291096",346,2,7,0
"0291097",347,96,222,4
"0291098",348,56,264,9
"0291099",349,541,872,30
"0291100",350,531,773,17
"0291101",351,0,0,0
"0291102",352,244,174,6
"0291103",353,135,100,2
"0291104",354,721,935,38
"0291105",355,88,142,7
"0291106",356,0,0,0
"0291107",357,510,595,11
"0291108",358,554,541,34
"0291109",359,2,1,0
"0291110",360,524,662,17
"0291111",361,789,983,35
"0291112",362,320,610,18
"0291113",363,565,801,34
"0291114",364,0,0,0
"0291115",365,141,323,10
"0291116",366,316,273,6
"0291117",367,62,91,0
"0291118",368,471,449,21
"0291119",369,12,33,2
"0291120",370,10,29,0
"0291121",371,759,796,36
"0291122a",372,997,998,33
"0291122b",373,47,48,2
"0291123",374,132,118,0
"0291124",375,27,62,3
"0291125",376,596,598,23
"0291126",377,0,0,0
"0291127",378,70,150,3
"0291128",379,225,317,13
"0291129",380,242,292,9
"0291130",381,0,0,0
"0291131",382,0,0,0
"0291132",383,83,147,3
"0291133",384,1,0,0
"0291134",385,0,0,0
"0291135",386,0,0,0
"0291136",387,69,65,2
"0291137",388,0,0,0
"0291138",389,63,150,9
"0291139",390,223,478,13
"0291140",391,230,316,12
"0291141",392,357,435,27
"0291142",393,256,448,9
"0291143",394,714,709,30
"0291144",395,1347,704,16
"0291145",396,86,43,1
"0291146",397,43,34,1
"0291147",398,449,701,24
"0291148",399,69,109,3
"0291149",400,368,600,19
"0291150",401,438,553,11
"0291151",402,339,354,17
"0291152",403,275,350,10
"0291153",404,167,151,5
"0291154a",405,322,243,6
"0291154b",406,20,21,0
"0291154c",407,8,8,0
"0291155",408,255,387,12
"0291156",409,708,701,37
"0291157",410,316,619,17
"0291158",411,93,213,4
"0291159",412,34,76,1
"0292001",413,49,194,5
"0292002",414,86,352,3
"0292003",415,113,545,12
"0292004",416,176,721,10
"0292005",417,113,313,11
"0292006",418,0,5,0
"0292007",419,137,466,2
"0292008",420,77,275,8
"0292009",421,245,566,21
"0292010",422,295,375,33
"0292011",423,129,554,12
"0292012",424,79,396,2
"0292013",425,147,375,4
"0292014",426,146,365,5
"0292015",427,99,461,8
"0292016",428,62,309,3
"0292017",429,59,276,2
"0292018",430,134,399,3
"0292019",431,103,431,10
"0292020",432,122,681,12
"0292021",433,216,690,8
"0292022",434,119,397,5
"0292023",435,311,946,15
"0292024",436,218,497,13
"0292025",437,296,807,19
"0292026",438,375,713,18
"0292027",439,248,463,9
"0292028",440,415,824,24
"0292029",441,102,325,1
"0292030",442,111,387,5
"0292031",443,84,415,5
"0292032",444,46,151,3
"0292033",445,47,169,2
"0292034",446,61,209,5
"0292035",447,226,625,20
"0292036",448,408,680,33
"0292037",449,459,388,17
"0292038",450,334,486,17
"0292039",451,149,535,16
"0292040",452,335,736,23
"0292041",453,351,886,8
"0292042",454,142,439,8
"0292043",455,167,519,6
"0292044",456,205,573,12
"0292045",457,168,508,13
"0292046",458,331,755,21
"0292047",459,300,587,13
"0292048",460,139,498,14
"0292049",461,407,794,19
"0292050",462,298,574,10
"0292051",463,85,177,5
"0292052",464,97,289,4
"0292053",465,126,386,5
"0292054",466,251,852,24
"0292055",467,317,956,30
"0292056",468,173,433,8
"0292057",469,246,610,11
"0292058",470,285,606,14
"0292059",471,256,648,13
"0292060",472,194,436,10
"0292061",473,245,303,12
"0292062",474,228,353,8
"0292063",475,756,384,26
"0292064",476,445,672,32
"0292065a",477,265,449,13
"0292065b",478,15,27,0
"0292066",479,1169,1020,43
"0292067",480,41,123,1
"0292068",481,1096,1131,57
"0292069",482,512,829,26
"0292070",483,134,564,8
"0292071",484,53,184,1
"0292072",485,710,900,37
"0292073",486,167,353,10
"0292074",487,74,231,0
"0292075",488,56,278,4
"0292076",489,609,649,39
"0292077",490,654,642,22
"0292078",491,448,670,23
"0292079",492,42,164,4
"0292080",493,198,384,9
"0292081",494,147,258,8
"0292082",495,231,435,7
"0292083",496,102,298,6
"0292084",497,1223,850,53
"0292085",498,201,439,7
"0292086",499,799,914,33
"0292087",500,576,485,15
"0292088",501,774,1152,36
"0292089",502,43,111,3
"0292090",503,254,535,15
"0292091",504,402,873,31
"0292092",505,100,114,7
"0292093",506,213,296,9
"0292094",507,76,46,2
"0292095",508,683,631,21
"0292096",509,319,654,28
"0292097",510,465,720,25
"0292098",511,223,367,13
"0292099",512,425,449,27
"0292100",513,216,351,14
"0292101",514,27,16,2
"0292102",515,668,750,30
"0292103",516,16,86,1
"0292104",517,20,82,2
"0292105",518,43,170,1
"0292106",519,79,141,6
"0292107",520,594,774,29
"0292108",521,395,306,13
"0292109",522,0,3,0
"0292110",523,100,106,4
"0292111",524,202,315,6
"0292112",525,398,513,16
"0292113",526,12,21,1
"0292114",527,348,639,24
"0292115",528,884,685,25
"0292116",529,0,2,0
"0292117",530,54,191,1
"0292118",531,1,12,0
"0292119",532,69,154,5
"0292120",533,255,270,10
"0292121",534,100,124,4
"0292122",535,168,496,23
"0292123",536,568,428,14
"0292124",537,197,224,5
"0292125",538,360,389,15
"0292126",539,262,370,8
"0292127",540,654,723,36
"0292128",541,174,576,9
"0292129",542,1,2,0
"0292130",543,462,635,21
"0292131",544,67,114,7
"0292132",545,1,0,0
"0292133",546,88,96,2
"0292134",547,170,354,11
"0292135",548,93,192,4
"0292136",549,1002,1083,39
"0292137",550,217,328,12
"0292138",551,198,277,10
"0292139",552,512,518,18
"0292140",553,251,440,13
"0292141",554,315,409,21
"0292142",555,76,166,7
"0292143",556,534,532,18
"0292144",557,387,633,21
"0292145",558,92,113,4
"0292146",559,9,26,0
"0292147",560,97,138,1
"0292148",561,679,1247,45
"0292149",562,281,548,18
"0292150",563,0,3,0
"0292151",564,2,7,0
"0292152",565,57,193,10
"0292153",566,59,99,3
"0292154",567,979,1059,55
"0292155",568,1,0,0
"0292156",569,185,386,14
"0292157",570,0,0,0
"0292158",571,0,0,0
"0292159",572,44,56,4
"0292160",573,0,1,0
"0292161",574,71,58,1
"0292162",575,118,198,12
"0292163",576,623,742,20
"0292164",577,441,654,23
"0292165",578,786,823,30
"0292166",579,426,533,16
"0292167",580,11,24,1
"0292168",581,358,496,24
"0292169",582,435,469,20
"0292170",583,907,987,42
"0292171",584,340,429,16
"0292172",585,93,141,5
"0292173",586,323,415,13
"0292174",587,721,743,25
"0292175",588,287,483,25
"0292176",589,311,341,24
"0292177",590,0,0,0
"0292178",591,161,460,12
"0292179",592,44,33,2
"0292180a",593,444,745,25
"0292180b",594,9,15,1
"0292181a",595,130,103,5
"0292181b",596,31,23,1
"0292181c",597,25,19,1
"0292181d",598,50,40,2
"0292181e",599,13,10,0
"0292181f",600,13,10,0
"0292181g",601,3,2,0
"0292182a",602,23,19,1
"0292182b",603,33,26,2
"0292182c",604,86,65,4
"0293001",605,1104,745,32
"0293002",606,863,451,30
"0293003",607,475,310,18
"0293004",608,0,1,0
"0293005",609,1019,394,23
"0293006",610,391,311,13
"0293007",611,874,672,27
"0293008",612,47,16,0
"0293009",613,10,2,0
"0293010",614,113,167,2
"0293011",615,386,297,12
"0293012",616,491,163,4
"0293013",617,494,578,22
"0293014",618,167,155,4
"0293015",619,434,462,25
"0293016",620,0,0,0
"0293017",621,1205,396,24
"0293018",622,746,483,39
"0293019",623,0,0,0
"0293020",624,935,830,40
"0293021",625,1331,407,33
"0293022",626,610,458,22
"0293023",627,36,14,1
"0293024",628,0,0,0
"0293025",629,684,466,31
"0293026",630,649,401,27
"0293027",631,565,388,26
"0293028",632,631,484,16
"0293029",633,369,362,15
"0293030",634,958,512,23
"0293031",635,8,7,0
"0293032",636,8,7,0
"0293033",637,961,392,27
"0293034",638,1505,316,33
"0293035",639,232,250,2
"0293036",640,809,1173,48
"0293037",641,28,20,1
"0293038",642,419,356,17
"0293039",643,1580,759,41
"0293040",644,669,588,25
"0293041",645,218,142,8
"0293042",646,839,471,22
"0293043",647,1178,469,27
"0293044",648,519,406,13
"0293045",649,699,326,21
"0293046",650,551,410,28
"0293047",651,691,564,33
"0293048",652,550,501,23
"0293049",653,936,548,26
"0293050",654,430,271,7
"0293051",655,167,84,8
"0293052",656,486,324,12
"0293053",657,673,457,27
"0293054",658,7,42,2
"0293055",659,1416,395,31
"0293056",660,411,576,21
"0293057",661,211,160,7
"0293058",662,711,970,47
"0293059",663,572,397,10
"0293060",664,596,556,20
"0293061",665,487,533,23
"0293062",666,16,9,1
"0293063",667,647,566,22
"0293064",668,133,145,6
"0293065",669,1082,733,34
"0293066",670,653,550,23
"0293067",671,575,452,19
"0293068",672,408,798,23
"0293069",673,1092,927,33
"0293070",674,984,722,29
"0293071",675,650,761,22
"0293072",676,1425,821,26
"0293073",677,513,464,19
"0293074",678,982,709,33
"0293075",679,1487,641,37
"0293076",680,651,322,13
"0293077",681,935,682,30
"0293078",682,1063,697,41
"0293079",683,1224,798,36
"0293080",684,405,286,13
"0293081",685,741,613,24
"0293082",686,730,625,27
"0293083",687,568,375,29
"0293084",688,996,783,41
"0293085",689,420,340,16
"0293086",690,680,482,25
"0293087",691,567,355,16
"0293088",692,1218,717,36
"0293089",693,1618,548,34
"0293090",694,1063,731,45
"0293091",695,456,136,8
"0293092",696,1334,509,36
"0293093",697,1064,582,29
"0293094",698,1336,708,22
"0293095",699,495,804,28
"0293096",700,1311,759,35
"0293097",701,4,0,0
"0293098",702,440,333,24
"0293099",703,1129,822,36
"0293100",704,873,804,36
"0293101",705,894,659,22
"0293102",706,1213,725,43
"0293103",707,158,191,6
"0293104",708,1002,647,34
"0293105",709,982,756,30
"0293106",710,736,348,12
"0293107",711,459,157,9
"0293108",712,659,333,15
"0293109",713,665,829,28
"0293110",714,888,795,34
"0293111",715,0,2,0
"0293112",716,287,470,16
"0293113",717,185,326,15
"0293114",718,1102,428,19
"0293115",719,795,494,27
"0293116",720,526,359,19
"0293117",721,1197,764,39
"0293118",722,308,268,11
"0293119",723,703,656,31
"0293120",724,927,856,48
"0293121",725,935,680,29
"0293122",726,775,557,28
"0293123",727,217,114,4
"0293124",728,1093,701,24
"0293125",729,1301,702,31
"0293126",730,653,356,16
"0293127",731,710,392,18
"0293128",732,26,21,1
"0293129",733,815,940,58
"0293130",734,856,374,13
"0293131",735,0,3,0
"0293132",736,251,399,12
"0293133",737,0,0,0
"0293134",738,466,1011,29
"0293135",739,234,286,11
"0293136",740,389,364,16
"0293137",741,907,628,30
"0293138",742,32,5,0
"0293139a",743,387,284,12
"0293139b",744,24,17,1
"0293139c",745,35,26,2
"0293140",746,1,10,0
"0293141",747,2,2,0
"0293142",748,67,104,2
"0293143",749,434,449,15
"0293144",750,73,66,4
"0293145",751,1080,723,24
"0293146",752,823,1013,44
"0293147",753,14,26,1
"0293148",754,487,251,13
"0293149",755,316,1244,31
"0293150",756,8,8,0
"0293151",757,1030,746,34
"0293152",758,373,196,14
"0293153",759,503,405,21
"0293154",760,719,377,17
"0293155",761,988,593,34
"0293156",762,10,7,0
"0293157",763,990,699,35
"0293158",764,28,15,1
"0293159",765,457,552,17
"0293160",766,549,342,14
"0293161",767,588,729,14
"0293162",768,615,449,21
"0293163",769,960,581,29
"0293164",770,785,383,24
"0293165",771,1315,846,42
"0293166",772,142,171,6
"0293167",773,5,1,0
"0293168",774,86,88,4
"0293169",775,45,30,0
"0293170",776,0,0,0
"0293171",777,0,1,0
"0293172",778,118,161,4
"0293173",779,1196,807,42
"0293174",780,1752,880,45
"0293175",781,200,178,10
"0293176",782,20,18,0
"0293177",783,0,0,0
"0293178",784,0,0,0
"0293179",785,2,0,0
"0293180",786,325,322,17
"0293181",787,856,429,18
"0293182",788,277,221,16
"0293183",789,10,1,0
"0293184",790,62,41,2
"0293185",791,132,107,3
