CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
"0010001",1,1799,1030,129,0.0604914933837429
"0010002",2,2455,1532,95,0.0219560878243513
"0010003",3,1195,776,53,0.025706940874036
"0010004",4,1525,985,40,0.0212121212121212
"0010005",5,282,191,7,0.0257731958762887
"0010006",6,1465,698,122,0.0534979423868313
"0010007",7,1396,588,236,0.117967332123412
"0010008",8,348,150,58,0.10958904109589
"0010009",9,1251,774,54,0.0371794871794872
"0010010",10,576,336,38,0.0570570570570571
"0010011",11,1253,739,53,0.0296896086369771
"0010013",12,1751,1055,163,0.0692974013474495
"0010015",13,915,606,43,0.0345963756177924
"0010016",14,800,511,32,0.0362595419847328
"0010017",15,816,505,51,0.046875
"0010018",16,2036,1297,52,0.0232198142414861
"0010019",17,2241,1289,179,0.0605828220858896
"0010020",18,1155,664,162,0.0735735735735736
"0010021",19,1802,1121,117,0.0462633451957295
"0010022",20,981,703,36,0.024390243902439
"0010023",21,1269,884,40,0.0227531285551763
"0010024",22,785,547,23,0.0235934664246824
"0030001",23,2038,1042,817,0.299610894941634
"0030002",24,2463,1516,619,0.196026490066225
"0030003",25,2392,1282,933,0.279812938425565
"0030004",26,2258,1104,1067,0.360392506690455
"0050001",27,585,274,142,0.204460966542751
"0050002",28,2631,1174,463,0.1796875
"0050003",29,1817,1047,197,0.0916104146576663
"0050004",30,1964,1000,231,0.0902708124373119
"0050005",31,1990,1034,275,0.104448742746615
"0050006",32,613,400,53,0.0456852791878173
"0050007",33,1096,780,56,0.0478589420654912
"0050008",34,684,489,17,0.0275049115913556
"0050009",35,279,195,15,0.0252525252525253
"0050010a",36,1240,639,175,0.120772946859903
"0050010b",37,151,76,33,0.123076923076923
"0050011",38,2060,1340,74,0.0220197418375095
"0050012",39,891,560,46,0.0381818181818182
"0050013",40,691,399,73,0.083743842364532
"0050014",41,1809,1198,164,0.0752324598478445
"0050015",42,651,400,148,0.169665809768638
"0050016",43,2262,1075,799,0.286124401913876
"0050017",44,1507,926,26,0.0130861504907306
"0050018",45,694,407,59,0.0795180722891566
"0050019",46,1482,1034,51,0.0273704789833822
"0050020",47,3018,1275,508,0.132701421800948
"0050021",48,743,491,17,0.0574948665297741
"0050022",49,1760,1109,67,0.0253623188405797
"0050023",50,448,318,18,0.0274914089347079
"0050024",51,2700,1528,328,0.0867549668874172
"0050025",52,2243,1362,236,0.082962962962963
"0050026",53,1577,1098,74,0.0354545454545455
"0050027",54,354,239,11,0.0202429149797571
