CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
"0010001",1,1712,576,106,0.0325342465753425
"0010002",2,2389,786,84,0.0140485312899106
"0010003",3,1137,498,56,0.0185185185185185
"0010004",4,1399,556,31,0.0161001788908766
"0010005",5,276,129,10,0.0232558139534884
"0010006",6,1349,519,125,0.0251450676982592
"0010007",7,1400,423,211,0.0330188679245283
"0010008",8,339,98,56,0
"0010009",9,1217,478,47,0.0145530145530146
"0010010",10,541,199,42,0.0572916666666667
"0010011",11,1192,472,49,0.0103092783505155
"0010013",12,1752,636,147,0.0360501567398119
"0010015",13,872,365,33,0.0303867403314917
"0010016",14,747,290,21,0.0173010380622837
"0010017",15,827,323,48,0.0382165605095541
"0010018",16,1966,724,45,0.012448132780083
"0010019",17,2152,698,163,0.0429799426934097
"0010020",18,1154,438,151,0.0402684563758389
"0010021",19,1705,583,108,0.0145560407569141
"0010022",20,933,551,34,0.0157657657657658
"0010023",21,1214,532,30,0.0134874759152216
"0010024",22,743,364,18,0.0164835164835165
"0030001",23,1784,370,703,0.184782608695652
"0030002",24,2325,753,542,0.0888594164456233
"0030003",25,2262,643,842,0.131172839506173
"0030004",26,2152,455,989,0.199556541019956
"0050001",27,557,142,110,0.0642857142857143
"0050002",28,2616,639,426,0.0943708609271523
"0050003",29,1715,543,179,0.0594795539033457
"0050004",30,1897,553,189,0.0458715596330275
"0050005",31,1917,553,238,0.0698529411764706
"0050006",32,609,231,35,0.0173160173160173
"0050007",33,956,388,47,0.0230179028132992
"0050008",34,639,306,19,0.0235690235690236
"0050009",35,292,148,11,0.0197368421052632
"0050010a",36,1173,358,163,0.0664819944598338
"0050010b",37,141,40,31,0.0666666666666667
"0050011",38,1984,788,75,0.0176991150442478
"0050012",39,867,316,42,0.0161812297734628
"0050013",40,710,258,66,0.0317460317460317
"0050014",41,1804,769,144,0.0352480417754569
"0050015",42,624,200,132,0.0663265306122449
"0050016",43,2260,482,752,0.168831168831169
"0050017",44,1510,605,27,0.0149750415973378
"0050018",45,635,209,41,0.035
"0050019",46,1456,687,52,0.0305232558139535
"0050020",47,2970,692,445,0.0494186046511628
"0050021",48,754,277,11,0.025089605734767
"0050022",49,1661,583,58,0.0240963855421687
"0050023",50,423,202,18,0.0235849056603774
"0050024",51,2550,729,272,0.0497925311203319
"0050025",52,2166,704,212,0.0557142857142857
"0050026",53,1512,709,58,0.0183875530410184
"0050027",54,355,147,9,0.00675675675675676
"0050028",55,1035,420,138,0.0729411764705882
"0050029",56,1479,506,83,0.0301810865191147
"0050030",57,989,361,25,0.0172910662824208
"0050031",58,439,85,95,0.0555555555555556
"0050032",59,32,12,0,0
"0050033",60,1388,545,25,0.0166051660516605
"0050034",61,2044,831,90,0.028673835125448
"0050035",62,1863,743,93,0.027063599458728
"0050037",63,441,160,39,0.0424242424242424
"0050038",64,396,126,58,0.0661157024793388
"0050039",65,540,175,28,0.0411764705882353
"0050040",66,729,250,56,0.0677290836653386
"005011b",67,1291,349,30,0.02
"005017b",68,493,148,7,0.0202702702702703
"0070001",69,1985,717,242,0.0776699029126214
"0070002",70,3496,1081,1109,0.228860294117647
"0070003",71,4053,1870,394,0.0483091787439614
"0070004",72,3529,1564,304,0.0418275418275418
"007001a",73,1729,400,345,0.083743842364532
"007004a",74,1021,482,94,0.0515463917525773
"0090001",75,1456,510,55,0.0181086519114688
"0090002",76,709,309,12,0.00967741935483871
"0090003",77,354,138,19,0.0223880597014925
"0090004",78,638,264,38,0.0227272727272727
"0090005",79,167,100,1,0.01
"0090006",80,1233,594,24,0.0154109589041096
"0090007",81,240,97,4,0.0103092783505155
"0090008",82,314,162,9,0.0123456790123457
"0090009",83,150,71,2,0
"0090010",84,778,345,20,0.0148367952522255
"0090011",85,26,11,3,0.1
"0090012",86,103,41,0,0.024390243902439
"0090013",87,132,58,0,0
"0110101",88,345,160,10,0.0137931034482759
"0110201",89,220,83,14,0.0240963855421687
"0110202",90,87,28,1,0.0294117647058824
"0110301",91,299,133,6,0.0222222222222222
"0110303",92,71,42,1,0
"0110401",93,128,51,6,0
"0110402",94,160,71,5,0
"0110404",95,24,5,1,0
"0130001",96,744,253,297,0.208
"0130003",97,1298,327,626,0.33433734939759
"0130004",98,812,220,428,0.390909090909091
"0130005",99,1271,275,821,0.425992779783394
"0130006",100,305,61,135,0.435483870967742
"0130007",101,1591,389,984,0.414758269720102
"0130008",102,456,188,227,0.424731182795699
"0130009",103,1782,446,1091,0.454751131221719
"0130010",104,375,122,192,0.358333333333333
"0130011",105,1285,426,577,0.341121495327103
"0130012",106,1244,356,696,0.409604519774011
"0130013",107,2166,787,954,0.319444444444444
"0130014",108,187,59,50,0.305084745762712
"0130015",109,2448,719,1530,0.511019283746556
"0130017",110,2154,428,1752,0.686046511627907
"0130018",111,1496,486,1001,0.505133470225873
"0130019",112,441,147,190,0.337748344370861
"0130020",113,3113,1345,868,0.195945945945946
"0130021",114,852,329,314,0.138888888888889
"0130022",115,574,245,206,0.297959183673469
"0150101",116,1332,472,120,0.0423728813559322
"0150102",117,1306,494,109,0.0482897384305835
"0150103",118,1343,669,75,0.0194902548725637
"0150104",119,736,322,69,0.059190031152648
"0150205",120,2611,1116,171,0.0326086956521739
"0150206",121,1189,563,60,0.0201834862385321
"0150207",122,680,353,36,0.0113636363636364
"0150208",123,557,276,19,0.003584229390681
"0150309",124,523,250,48,0.056
"0150310",125,2534,854,371,0.0716803760282021
"0150311",126,1143,291,292,0.0724137931034483
"0150412",127,626,207,73,0.0436893203883495
