CNTYVTD,VTDKEY,ClintonD_16G_President,TrumpR_16G_President,JohnsonL_16G_President,SteinG_16G_President,Write-InW_16G_President
"4393359",8316,510,963,64,11,7
"4393361",8317,637,1213,107,13,29
"4393363",8318,384,1535,68,11,19
"4393364",8319,222,323,32,5,6
"4393365",8320,741,2034,105,13,24
"4393367",8321,355,788,44,13,15
"4393368",8322,150,408,18,3,2
"4393372",8323,699,1418,100,17,33
"4393384",8324,418,632,68,8,17
"4393385",8325,687,1385,109,5,18
"4393386",8326,387,1120,59,6,10
"4393387",8327,361,1087,66,11,13
"4393389",8328,1092,1164,102,31,30
"4393390",8329,775,1948,112,11,27
"4393391",8330,811,737,56,25,22
"4393392",8331,407,1116,55,7,10
"4393396",8332,794,1309,99,14,33
"4393398",8333,292,656,54,9,1
"4393406",8334,0,0,0,0,0
"4393409",8335,1,5,1,0,0
"4393417",8336,427,900,57,11,17
"4393421",8337,251,751,29,11,10
"4393422",8338,255,734,40,3,12
"4393433",8339,121,313,10,2,0
"4393443",8340,522,968,78,11,13
"4393446",8341,0,0,0,0,0
"4393447",8342,1,0,0,0,0
"4393465",8343,738,1269,73,11,23
"4393469",8344,316,523,45,9,5
"4393470",8345,24,63,4,0,0
"4393471",8346,316,883,56,7,16
"4393486",8347,615,1374,98,14,23
"4393500",8348,60,219,7,0,1
"4393502",8349,221,864,33,7,19
"4393507",8350,476,900,63,16,8
"4393509",8351,395,838,59,14,8
"4393510",8352,564,1579,79,8,11
"4393511",8353,876,775,70,12,7
"4393516",8354,387,955,55,17,7
"4393517",8355,575,744,50,23,15
"4393526",8356,240,581,18,2,7
"4393527",8357,438,1058,55,9,14
"4393529",8358,512,1101,53,11,13
"4393530",8359,679,1180,103,15,24
"4393538",8360,840,1632,99,9,20
"4393539",8361,1,8,1,1,0
"4393542",8362,522,973,85,6,18
"4393545",8363,491,1236,70,14,8
"4393552",8364,678,1108,79,7,25
"4393554",8365,533,1430,70,10,24
"4393558",8366,760,1597,102,14,19
"4393560",8367,0,0,0,0,0
"4393562",8368,17,83,5,0,1
"4393566",8369,0,0,0,0,0
"4393567",8370,225,824,36,6,9
"4393570",8371,606,1101,73,14,22
"4393574",8372,105,106,7,3,2
"4393575",8373,0,0,0,0,0
"4393579",8374,145,468,26,1,4
"4393580",8375,0,0,0,0,0
"4393582",8376,1,25,1,0,0
"4393583",8377,0,0,0,0,0
"4393584",8378,0,0,0,0,0
"4393585",8379,0,0,0,0,0
"4393590",8380,0,0,0,0,0
"4393624",8381,71,115,3,0,0
"4393626",8382,120,313,9,1,2
"4393637",8383,550,822,61,14,17
"4393646",8384,581,1204,110,16,28
"4393647",8385,746,1030,73,6,37
"4393648",8386,713,1492,116,17,31
"4393653",8387,0,0,0,0,0
"4393654",8388,0,0,0,0,0
"4393661",8389,0,0,0,0,0
"4393663",8390,2,3,0,0,0
"4393664",8391,0,1,0,0,0
"4393665",8392,1,9,0,0,0
"4393667",8393,19,41,5,0,0
"4393668",8394,64,177,7,1,2
"4393669",8395,2,1,0,0,0
"4393671",8396,144,406,20,7,3
"4393695",8397,776,1264,88,9,22
"4393696",8398,677,1376,96,13,30
"4393698",8399,854,1276,92,26,30
"4393700",8400,290,906,47,10,11
"4393706",8401,486,865,76,12,12
"4393709",8402,283,636,45,7,9
"4393716",8403,320,926,46,7,7
"4393720",8404,491,1405,76,6,21
"4393725",8405,381,982,60,20,18
"4393728",8406,345,787,42,5,12
"4393729",8407,1,3,0,0,0
"4393732",8408,156,577,23,3,7
"4393735",8409,206,616,26,3,3
"4393750",8410,0,0,0,0,0
"4393757",8411,0,0,0,0,0
"4393759",8412,0,0,0,0,0
"4393822",8413,0,0,0,0,0
"4393826",8414,0,0,0,0,0
"4394006",8415,198,53,14,7,0
"4394016",8416,470,470,67,12,20
"4394017",8417,956,219,37,8,3
"4394018",8418,119,305,14,3,3
"4394020",8419,295,554,37,8,6
"4394042",8420,233,360,15,4,5
"4394044",8421,364,1306,51,11,13
"4394045",8422,388,1308,60,11,10
"4394046",8423,270,1166,51,10,3
"4394047",8424,294,1455,45,12,1
"4394048",8425,265,59,10,1,0
"4394050",8426,463,70,10,1,0
"4394051",8427,0,1,0,0,0
"4394053",8428,214,486,21,8,4
"4394057",8429,142,177,14,5,1
"4394060",8430,791,285,60,25,28
"4394065",8431,435,1716,66,18,21
"4394067",8432,478,116,12,5,1
"4394068",8433,427,109,15,6,0
"4394069",8434,346,718,39,7,12
"4394070",8435,690,699,62,11,12
"4394073",8436,98,131,5,1,1
"4394077",8437,111,80,12,0,0
"4394086",8438,565,1134,58,3,16
"4394087",8439,226,38,8,4,0
"4394091",8440,440,986,51,14,3
"4394092",8441,321,68,11,4,2
"4394093",8442,635,175,18,1,1
"4394096",8443,459,179,17,13,14
"4394097",8444,402,140,18,5,1
"4394101",8445,321,235,15,12,0
"4394102",8446,220,254,16,8,3
"4394107",8447,320,66,11,2,2
"4394110",8448,393,78,12,3,1
"4394113",8449,63,133,11,1,0
"4394115",8450,87,381,14,2,1
"4394116",8451,601,739,66,9,11
"4394118",8452,399,364,38,6,3
"4394121",8453,505,898,51,12,6
"4394122",8454,520,129,10,2,1
"4394123",8455,526,143,16,4,0
"4394124",8456,354,375,35,5,19
"4394125",8457,111,136,10,2,0
"4394128",8458,456,1032,47,10,6
"4394129",8459,262,457,43,3,14
"4394130",8460,687,1058,87,9,20
"4394135",8461,352,422,33,13,3
"4394136",8462,558,627,52,15,14
"4394137",8463,367,537,41,9,7
"4394138",8464,185,246,8,6,1
"4394141",8465,615,874,75,9,6
"4394144",8466,315,597,34,6,9
"4394155",8467,716,310,39,15,37
"4394159",8468,341,488,33,7,3
"4394162",8469,133,126,8,4,0
"4394163",8470,342,436,41,7,14
"4394178",8471,740,1151,93,14,21
"4394179",8472,358,293,38,12,9
"4394182",8473,847,1141,106,18,24
"4394191",8474,216,496,27,3,5
"4394195",8475,438,96,12,8,0
"4394201",8476,438,80,9,2,1
"4394202",8477,352,402,20,6,3
"4394203",8478,572,390,26,13,9
"4394204",8479,687,1115,57,16,17
"4394218",8480,285,353,22,7,2
"4394222",8481,271,335,19,8,2
"4394230",8482,907,1323,152,24,39
"4394231",8483,521,116,12,11,0
"4394232",8484,599,754,62,17,8
"4394233",8485,451,117,26,7,8
"4394234",8486,670,1353,89,13,25
"4394239",8487,18,49,1,0,0
"4394242",8488,91,279,17,3,4
"4394243",8489,273,410,30,5,5
"4394245a",8490,49,12,0,1,0
"4394245b",8491,0,0,0,0,0
"4394250",8492,659,953,74,19,17
"4394252",8493,288,310,24,6,1
"4394253",8494,144,139,21,2,5
"4394256",8495,234,76,6,0,4
"4394259",8496,176,575,23,3,5
"4394261",8497,762,923,91,20,14
"4394272",8498,123,240,18,5,3
"4394276",8499,498,835,61,8,20
"4394284",8500,36,156,4,1,2
"4394285",8501,114,162,14,6,0
"4394288",8502,75,15,1,1,0
"4394290",8503,462,851,49,14,3
"4394312",8504,20,8,2,0,2
"4394328",8505,312,451,31,8,3
"4394338",8506,468,757,42,10,12
"4394340",8507,286,996,43,15,1
"4394342",8508,565,871,61,8,16
"4394343",8509,351,708,44,4,14
"4394344",8510,372,544,20,4,5
"4394350",8511,483,394,57,10,23
"4394362",8512,0,4,0,0,0
"4394369",8513,678,1466,98,15,20
"4394370",8514,0,0,0,0,0
"4394371",8515,252,1077,48,7,8
"4394373",8516,38,95,5,2,2
"4394374",8517,508,776,65,22,11
"4394375",8518,412,1285,58,11,6
"4394395",8519,63,297,10,2,1
"4394397",8520,72,112,16,1,1
"4394399",8521,29,107,4,1,0
"4394400",8522,65,101,9,0,0
"4394410",8523,727,834,67,19,11
"4394429",8524,286,543,55,5,4
"4394432",8525,14,2,0,0,0
"4394452",8526,524,637,47,10,9
"4394454",8527,458,1006,48,8,8
"4394456",8528,254,470,35,5,13
"4394458",8529,0,3,0,0,0
"4394475",8530,22,6,1,0,0
"4394478",8531,0,0,0,0,0
"4394480",8532,134,440,25,4,6
"4394483",8533,12,12,4,1,0
"4394485",8534,102,106,6,0,1
"4394487",8535,0,0,0,0,0
"4394492",8536,249,203,31,10,9
"4394493",8537,252,321,27,5,4
"4394494",8538,0,8,0,0,0
"4394495",8539,53,24,1,0,0
"4394496",8540,263,131,17,4,6
"4394497",8541,765,447,58,15,3
"4394498",8542,138,289,21,3,6
"4394499",8543,997,1149,74,18,13
"4394503",8544,283,166,18,6,3
"4394508",8545,860,1281,95,23,15
"4394512",8546,0,0,0,0,0
"4394528",8547,832,1315,89,27,43
"4394531",8548,556,1315,62,17,13
"4394532",8549,172,638,25,1,4
"4394533",8550,275,531,32,9,2
"4394534",8551,686,1345,90,22,34
"4394540",8552,747,961,79,12,12
"4394551",8553,750,1420,89,26,24
"4394563",8554,0,0,0,0,0
"4394565",8555,12,15,1,0,0
"4394568",8556,11,10,0,1,0
"4394572",8557,17,2,1,0,0
"4394573",8558,0,0,0,0,0
"4394587",8559,101,2,2,0,0
"4394588",8560,946,1542,84,13,25
"4394591",8561,647,951,68,10,12
"4394592",8562,0,0,0,0,0
"4394593",8563,88,81,7,1,1
"4394595",8564,36,44,5,1,0
"4394596",8565,35,15,0,0,0
"4394599",8566,337,537,39,5,10
"4394602",8567,0,0,0,0,0
"4394604",8568,1,2,0,0,0
"4394615",8569,0,0,0,0,0
"4394620",8570,18,11,2,0,0
"4394629",8571,0,0,0,0,0
"4394630",8572,0,0,0,0,0
"4394632",8573,0,0,0,0,0
"4394634",8574,344,323,36,4,6
"4394638",8575,388,711,59,7,12
"4394640",8576,198,144,20,1,3
"4394649",8577,481,1235,70,8,7
"4394650",8578,373,487,41,9,8
"4394666",8579,0,0,0,0,0
"4394682",8580,93,62,7,2,1
"4394683",8581,0,0,0,0,0
"4394685",8582,1,0,0,0,0
"4394686",8583,0,0,0,0,0
"4394687",8584,49,23,3,1,1
"4394689",8585,46,45,2,0,1
"4394694",8586,252,481,36,5,6
"4394702",8587,242,456,30,8,8
"4394703",8588,781,1025,86,17,11
"4394705",8589,373,593,41,6,9
"4394707",8590,328,417,37,12,8
"4394711",8591,442,541,38,8,8
"4394713",8592,523,1070,73,11,23
"4394724",8593,170,623,26,4,4
"4394730",8594,318,610,53,8,11
"4394733",8595,304,489,30,3,6
"4394736",8596,175,748,36,8,4
"4394737a",8597,228,373,20,6,6
"4394737b",8598,4,8,0,0,0
"4394820",8599,0,0,0,0,0
"4410101",8600,617,1512,108,16,15
"4410102",8601,366,990,50,14,12
"4410103",8602,372,1065,64,11,11
"4410104",8603,323,1366,69,5,24
"4410105",8604,478,1155,90,17,8
"4410106",8605,155,389,41,9,5
"4410107",8606,69,310,12,2,0
"4410108",8607,74,702,17,1,4
"4410109",8608,14,147,6,0,1
"4410110",8609,12,53,1,0,0
"4410201",8610,307,432,34,10,7
"4410202",8611,605,678,50,13,5
"4410203",8612,600,1143,96,24,8
"4410204",8613,234,852,47,6,12
"4410205",8614,541,882,55,12,9
"4410206",8615,219,1198,31,5,4
"4410207",8616,36,176,2,0,1
"4410301",8617,339,1008,77,12,10
"4410302",8618,283,1122,59,11,17
"4410303",8619,96,1062,28,3,3
"4410304",8620,446,1383,98,13,23
"4410305",8621,410,1896,74,5,25
"4410306",8622,364,1996,74,10,23
"4410307",8623,276,1628,67,10,19
"4410308",8624,135,930,33,3,1
"4410401",8625,226,1180,36,2,9
"4410402",8626,491,1188,96,18,24
"4410403",8627,430,826,67,13,19
"4410404",8628,390,755,51,10,9
"4410405",8629,264,664,46,9,7
"4410406",8630,496,1441,83,13,33
"4410407",8631,157,644,32,2,1
"4410408",8632,225,1996,55,5,22
"4410409",8633,35,481,14,5,1
"4430001",8634,34,58,3,0,0
"4430002a",8635,50,80,3,0,0
"4430002b",8636,3,6,0,0,0
"4430003",8637,31,78,3,0,0
"4430004a",8638,16,40,1,0,0
"4430004b",8639,5,18,0,0,0
"4430004c",8640,1,7,0,0,0
"4450101",8641,165,880,30,4,2
"4450201",8642,129,367,15,3,1
"4450202",8643,57,245,8,2,1
"4450301",8644,244,392,30,6,4
"4450401",8645,148,447,25,5,1
"4450402",8646,10,128,4,1,1
"4470001",8647,10,206,0,0,0
"4470002",8648,21,196,4,1,0
"4473003",8649,26,166,2,0,0
"4474005",8650,14,44,0,0,0
"4474006",8651,13,103,1,1,0
"4490001",8652,242,51,5,6,2
"4490002",8653,116,273,10,2,1
"4490003",8654,77,343,3,1,2
"4490004",8655,64,324,7,0,6
"4490005",8656,21,177,6,1,0
"4490006",8657,127,690,9,3,6
"4490007",8658,122,532,15,3,3
"4490008",8659,323,217,21,6,6
"4490009",8660,56,188,3,0,1
"4490010",8661,70,472,10,0,3
"4490011",8662,43,92,6,2,0
"4490012",8663,28,159,2,0,0
"4490014",8664,399,536,19,4,7
"4490015",8665,72,389,4,0,7
"4490016",8666,272,1025,25,6,15
"4490017",8667,186,97,9,4,0
"4490018",8668,26,81,2,0,0
"4490019",8669,135,277,11,1,1
"4490020",8670,218,588,24,5,16
"4510106",8671,266,399,29,3,1
"4510107",8672,176,382,8,3,0
"4510108",8673,46,475,14,4,4
"4510112",8674,75,584,9,1,3
"4510114",8675,235,119,12,2,0
"4510124",8676,344,195,18,5,0
"4510137",8677,580,620,60,10,9
"4510144",8678,311,413,30,13,6
"4510146",8679,600,754,46,15,4
"4510201",8680,376,1252,75,8,12
"4510213",8681,134,1697,29,5,7
"4510215",8682,293,1251,38,7,5
"4510225",8683,3,50,0,1,1
"4510228",8684,332,1030,68,13,17
"4510230",8685,332,1075,73,6,14
"4510241",8686,557,2555,113,5,22
"4510304",8687,411,1268,68,18,6
"4510306",8688,201,616,48,5,8
"4510308",8689,74,85,3,1,0
"4510318",8690,176,1143,40,4,4
"4510319",8691,436,1643,74,14,8
"4510327",8692,347,604,35,4,3
"4510348",8693,119,631,23,1,5
"4510351",8694,51,226,11,0,0
"4510358",8695,108,781,17,2,2
"4510401",8696,30,65,1,1,1
"4510402",8697,590,1160,101,17,10
"4510420",8698,52,234,11,0,1
"4510421",8699,440,1621,77,4,13
"4510422",8700,79,743,21,3,3
"4510423",8701,67,600,22,3,3
"4510424",8702,355,957,43,7,4
"4510434",8703,207,343,32,4,0
"4510435",8704,175,364,27,6,3
"4510436",8705,595,1559,126,23,13
"4530100",8706,1449,98,47,35,4
"4530101",8707,1326,103,54,39,7
"4530102",8708,1388,83,44,23,3
"4530103",8709,1285,70,37,27,7
"4530104",8710,2105,106,56,50,12
"4530105",8711,1299,91,39,29,8
"4530106",8712,1385,147,55,25,15
"4530107",8713,1564,175,64,31,22
"4530110",8714,1105,68,25,30,4
"4530111",8715,1172,77,37,31,5
"4530112",8716,946,83,29,12,6
"4530113",8717,1257,162,62,29,12
"4530114",8718,1080,123,45,24,18
"4530115",8719,257,24,16,10,1
"4530116",8720,1447,178,41,43,13
"4530117",8721,1350,171,51,21,13
"4530120",8722,821,56,20,17,3
"4530121",8723,621,51,19,14,2
"4530122",8724,740,79,24,15,2
"4530123",8725,526,104,22,12,1
"4530124",8726,748,81,21,10,0
"4530125",8727,268,49,8,4,1
"4530126",8728,883,238,42,15,5
"4530127",8729,878,303,47,20,10
"4530130",8730,1740,259,75,54,39
"4530131",8731,966,206,61,34,3
"4530132",8732,1557,350,73,62,2
"4530133",8733,919,224,38,22,5
"4530134",8734,820,238,41,17,4
"4530135",8735,531,214,29,14,5
"4530136",8736,662,298,59,21,3
"4530137",8737,1300,286,97,45,21
"4530138",8738,1645,475,106,36,26
"4530140",8739,116,41,8,3,2
"4530141",8740,1344,487,92,22,19
"4530142",8741,649,231,39,16,8
"4530143",8742,923,335,55,21,12
"4530144",8743,479,169,29,9,6
"4530145",8744,358,321,25,9,5
"4530146",8745,85,154,15,1,2
"4530150a",8746,775,512,79,17,17
"4530150b",8747,10,5,0,0,0
"4530151a",8748,524,353,53,11,11
"4530151b",8749,0,0,0,0,0
"4530152",8750,710,596,76,12,15
"4530153",8751,815,669,97,18,21
"4530154a",8752,735,612,82,19,20
"4530154b",8753,10,6,0,0,0
"4530155",8754,777,646,85,19,22
"4530156",8755,548,467,55,13,12
"4530160",8756,703,427,61,10,7
"4530161",8757,504,256,38,9,9
"4530162",8758,1081,557,82,22,22
"4530163",8759,844,430,65,18,17
"4530164",8760,1006,542,76,22,14
"4530165",8761,1078,468,88,26,14
"4530170",8762,1055,522,87,24,15
"4530171",8763,1039,602,90,20,14
"4530172",8764,137,103,11,4,2
"4530173",8765,488,530,72,10,11
"4530174",8766,284,219,36,8,6
"4530175",8767,3,1,0,0,0
"4530176",8768,11,3,0,0,0
"4530177",8769,1223,807,77,17,24
"4530178",8770,641,493,72,20,13
"4530180",8771,838,438,59,11,3
"4530181",8772,825,288,59,18,9
"4530182",8773,637,222,45,14,8
"4530183",8774,322,114,24,8,4
"4530184",8775,745,254,50,12,5
"4530185",8776,222,75,17,3,1
"4530186",8777,804,241,52,21,12
"4530190",8778,815,301,67,31,14
"4530191",8779,1153,411,93,34,31
"4530192",8780,981,411,71,25,19
"4530193",8781,883,363,79,21,22
"4530194",8782,798,324,67,21,23
"4530200",8783,1919,435,114,43,15
"4530201",8784,1739,707,136,20,32
"4530202",8785,1689,172,81,43,18
"4530203",8786,1834,191,92,67,22
"4530204",8787,1668,247,93,45,29
"4530205",8788,1873,379,97,27,15
"4530206",8789,1533,145,63,45,11
"4530207",8790,1890,234,90,49,13
"4530210",8791,1017,273,87,16,18
"4530211",8792,1597,242,76,31,22
"4530212",8793,1915,245,102,61,12
"4530213",8794,1642,174,77,39,9
"4530214",8795,1100,119,58,32,8
"4530215",8796,345,31,18,10,1
"4530216",8797,1242,185,57,41,30
"4530220",8798,1504,334,77,32,19
"4530221",8799,1947,333,106,45,27
"4530223",8800,1062,316,81,10,17
"4530224",8801,1129,185,58,23,17
"4530225",8802,1462,236,77,37,20
"4530226",8803,1486,415,90,32,11
"4530227",8804,1382,333,70,52,13
"4530230",8805,2049,653,147,35,31
"4530231",8806,1815,1024,150,25,20
"4530232",8807,1696,787,123,7,15
"4530233",8808,1687,839,122,15,25
"4530234",8809,1575,470,127,35,32
"4530235",8810,1485,844,119,18,25
"4530236",8811,1977,864,134,42,34
"4530237",8812,1520,604,114,27,23
"4530238",8813,1617,625,96,35,24
"4530240",8814,1478,376,70,51,17
"4530241",8815,1021,282,58,32,7
"4530242",8816,1329,356,79,44,11
"4530243",8817,1384,554,104,34,11
"4530244",8818,864,287,77,33,13
"4530245",8819,1253,419,112,51,19
"4530246",8820,1313,420,94,36,12
"4530247",8821,896,241,59,32,10
"4530250",8822,816,258,59,24,12
