FIPSCode,Jurisdiction_Name,State_Full,State_Abbr,D1a,D1Comments,D2a,D2b,D2Comments,D3a,D3Comments,D4a,D4b,D4c,D5a,D5b,D5c,D4_D5Comments,D6,D7,D6_D7Comments,D8a,D8b,D8c,D8d,D8e,D8f,D8g,string_field_28,string_field_29
3805900000,MORTON COUNTY,NORTH DAKOTA,ND,15141,,9026,3142,,18,,14,14,0,1,1,0,,Does not apply,Does not apply,,91,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
3808900000,STARK COUNTY,NORTH DAKOTA,ND,12351,,3988,5214,,8,,5,5,0,1,1,0,,Does not apply,Does not apply,,34,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
3809300000,STUTSMAN COUNTY,NORTH DAKOTA,ND,9818,,5618,2842,,12,,14,14,0,1,1,0,,Does not apply,Does not apply,,36,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
3810100000,WARD COUNTY,NORTH DAKOTA,ND,24401,,13008,5355,,19,,26,26,0,1,1,0,,Does not apply,Does not apply,,92,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5400100000,BARBOUR COUNTY,WEST VIRGINIA,WV,5031,BASED ON BALLOTS CAST,3449,1547,D2A -D2B IS BASED ON HISTORY CREDITED TO VOTER RECORDS - DOES NOT INCLUDE PROVISIONALS,16,,15,15,0,1,0,1,,82,5,,87,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5401100000,CABELL COUNTY,WEST VIRGINIA,WV,29590,BASED ON BALLOTS CAST,19276,8960,D2A -D2B IS BASED ON HISTORY CREDITED TO VOTER RECORDS - DOES NOT INCLUDE PROVISIONALS,71,,71,71,0,3,2,1,,355,12,,355,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5401900000,FAYETTE COUNTY,WEST VIRGINIA,WV,12511,BASED ON BALLOTS CAST,8233,4194,BASED ON BALLOTS CAST,39,,35,35,0,3,2,1,,195,12,,195,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5402500000,GREENBRIER COUNTY,WEST VIRGINIA,WV,12441,BASED ON BALLOTS CAST,8332,4109,BASED ON BALLOTS CAST,29,,25,24,1,2,1,1,,157,6,,157,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5403300000,HARRISON COUNTY,WEST VIRGINIA,WV,22947,BASED ON BALLOTS CAST,15932,6563,D2A -D2B IS BASED ON HISTORY CREDITED TO VOTER RECORDS - DOES NOT INCLUDE PROVISIONALS,67,,61,60,1,2,1,1,,335,18,,402,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5403900000,KANAWHA COUNTY,WEST VIRGINIA,WV,65216,BASED ON BALLOTS CAST,47442,16360,BASED ON BALLOTS CAST,174,,110,110,0,6,5,1,,806,33,,806,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5404100000,LEWIS COUNTY,WEST VIRGINIA,WV,5676,BASED ON BALLOTS CAST,3985,1588,D2A -D2B IS BASED ON HISTORY CREDITED TO VOTER RECORDS,24,,23,23,0,1,0,1,,120,2,,120,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5404300000,LINCOLN COUNTY,WEST VIRGINIA,WV,5771,BASED ON BALLOTS CAST,3831,1940,BASED ON BALLOTS CAST,16,,13,13,0,3,3,0,,80,6,,6,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5404700000,MCDOWELL COUNTY,WEST VIRGINIA,WV,4716,BASED ON BALLOTS CAST,4053,663,BASED ON BALLOTS CAST,37,,37,37,0,1,0,1,,185,5,,185,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5405500000,MERCER COUNTY,WEST VIRGINIA,WV,18350,BASED ON BALLOTS CAST,11072,6742,BASED ON BALLOTS CAST,48,,44,44,0,4,3,1,,240,16,,240,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5405700000,MINERAL COUNTY,WEST VIRGINIA,WV,9033,BASED ON BALLOTS CAST,7154,1682,BASED ON BALLOTS CAST,28,,24,24,0,1,0,1,,147,7,,147,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5406100000,MONONGALIA COUNTY,WEST VIRGINIA,WV,31660,BASED ON BALLOTS CAST,17095,13897,BASED ON BALLOTS CAST,41,,30,29,1,3,2,1,,153,18,,153,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5406900000,OHIO COUNTY,WEST VIRGINIA,WV,16071,BASED ON BALLOTS CAST,11682,3988,D2A -D2B IS BASED ON HISTORY CREDITED TO VOTER RECORDS - DOES NOT INCLUDE PROVISIONALS,43,,25,24,1,1,0,1,,180,7,,180,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5407900000,PUTNAM COUNTY,WEST VIRGINIA,WV,21646,BASED ON BALLOTS CAST,14085,7561,BASED ON BALLOTS CAST,46,,30,30,0,2,1,1,,230,16,,230,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5408300000,RANDOLPH COUNTY,WEST VIRGINIA,WV,9058,BASED ON BALLOTS CAST,5459,3599,BASED ON BALLOTS CAST,27,,27,27,0,1,0,1,,135,3,,138,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5408700000,ROANE COUNTY,WEST VIRGINIA,WV,4304,BASED ON BALLOTS CAST,2696,1503,BASED ON BALLOTS CAST,18,,18,17,1,1,0,1,,90,2,,90,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5408900000,SUMMERS COUNTY,WEST VIRGINIA,WV,4175,BASED ON BALLOTS CAST,2449,1650,BASED ON BALLOTS CAST,16,,15,15,0,1,0,1,,75,6,,75,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5410500000,WIRT COUNTY,WEST VIRGINIA,WV,1912,BASED ON BALLOTS CAST,1184,669,BASED ON BALLOTS CAST,9,,9,8,1,1,0,1,,45,2,,45,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
5410700000,WOOD COUNTY,WEST VIRGINIA,WV,29456,BASED ON BALLOTS CAST,17228,11658,BASED ON BALLOTS CAST,71,,47,47,0,5,4,1,,345,28,,345,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,
501100000,BRADLEY COUNTY,ARKANSAS,AR,2889,,1491,1333,,16,,14,9,0,1,1,0,,55,3,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
502500000,CLEVELAND COUNTY,ARKANSAS,AR,2604,,1683,861,,17,,13,13,0,1,1,0,,61,42,SOME EARLY VOTING POLL WORKERS WORKED ELECTION DAY,70,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
502700000,COLUMBIA COUNTY,ARKANSAS,AR,6288,,1994,4117,,14,,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,VOTE CENTERS,50,6,,50,Data not available,Data not available,2,8,18,22,,
503100000,CRAIGHEAD COUNTY,ARKANSAS,AR,26189,,11213,14564,,53,,20,20,0,5,4,1,,124,33,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
504100000,DESHA COUNTY,ARKANSAS,AR,3582,,1668,1734,,21,,8,3,0,3,2,1,,48,12,,60,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
504500000,FAULKNER COUNTY,ARKANSAS,AR,38818,,12291,25963,,50,,24,24,0,7,6,1,,147,30,,177,Does not apply,Data not available,Data not available,Data not available,Data not available,Data not available,,
504700000,FRANKLIN COUNTY,ARKANSAS,AR,5312,,2341,2848,,40,,6,6,0,2,0,2,,35,6,,41,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
505500000,GREENE COUNTY,ARKANSAS,AR,11066,,4812,6133,,39,,13,Does not apply,Does not apply,1,Does not apply,Does not apply,,67,9,,67,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
505700000,HEMPSTEAD COUNTY,ARKANSAS,AR,4395,,2153,2036,,24,,9,9,Does not apply,1,1,Does not apply,,59,23,,62,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
507100000,JOHNSON COUNTY,ARKANSAS,AR,7500,,3266,4234,,22,,11,11,,1,,1,,64,0,,64,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
507700000,LEE COUNTY,ARKANSAS,AR,2143,,931,1061,,24,,3,3,0,1,0,1,,21,7,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
508100000,LITTLE RIVER COUNTY,ARKANSAS,AR,3963,,2178,1694,,20,,2178,6,0,1694,1,0,,26,5,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
508300000,LOGAN COUNTY,ARKANSAS,AR,5596,,3266,2330,,36,,10,10,0,2,0,2,,67,14,,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
509500000,MONROE COUNTY,ARKANSAS,AR,2722,,1633,1011,,25,,11,11,Does not apply,1,1,Does not apply,,72,3,,72,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
509700000,MONTGOMERY COUNTY,ARKANSAS,AR,2858,,1485,1294,,16,,5,5,Does not apply,1,1,Does not apply,,45,6,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
510300000,OUACHITA COUNTY,ARKANSAS,AR,7460,,2769,4523,,69,,6,6,Does not apply,1,0,Does not apply,,35,7,,35,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
510700000,PHILLIPS COUNTY,ARKANSAS,AR,5653,,2419,2917,,70,,17,17,0,1,1,0,,67,4,,71,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
512700000,SCOTT COUNTY,ARKANSAS,AR,2888,,1797,1029,,26,,26,26,0,1,1,0,,119,1,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
512900000,SEARCY COUNTY,ARKANSAS,AR,3256,,1487,1643,,15,,9,9,Does not apply,1,1,Does not apply,,42,2,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
513100000,SEBASTIAN COUNTY,ARKANSAS,AR,33324,,15191,17600,,111,,,,,37,36,1,,195,107,,195,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
513500000,SHARP COUNTY,ARKANSAS,AR,5713,,2498,3040,,25,,9,9,0,3,2,1,,78,12,,78,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
513700000,STONE COUNTY,ARKANSAS,AR,4451,,2040,2359,,21,,2040,12,0,2359,1,1,,76,7,,77,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
513900000,UNION COUNTY,ARKANSAS,AR,11574,,5774,5531,,19,,19,19,1,1,1,,,Does not apply,Does not apply,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
514700000,WOODRUFF COUNTY,ARKANSAS,AR,2122,,1380,710,,11,,11,11,0,1,0,1,,52,4,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
600100000,ALAMEDA COUNTY,CALIFORNIA,CA,587501,,159500,428001,,1135,D3. TOTAL NUMBER OF PRECINCTS IN OUR JURISDICTION FOR THE NOV. 2018 ELECTION-1135,816,816,Data not available,Data not available,Data not available,1,A. D4-816 D5-1  B. D4-816 D5-DATA NOT AVAILABLE  C. D4-DATA NOT AVAILABLE     D5-1,4680,0,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
608100000,SAN MATEO COUNTY,CALIFORNIA,CA,290058,DOES NOT INCLUDE REJECTED/CHALLENGED BALLOTS.,23551,5543,"THE SUM OF D2A AND D2B, 23551 + 5543 = 29,094. 29, 094 DOES NOT EXCEED THE VALUE IN D1A, 290,058.",525,,39,38,1,39,38,1,,390,170,,390,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
609300000,SISKIYOU COUNTY,CALIFORNIA,CA,18571,,4738,13462,,64,,17,16,1,0,0,0,,168,0,,168,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
611300000,YOLO COUNTY,CALIFORNIA,CA,75012,"OUR IT MANAGER HAS RECENTLY RETIRED, WITH THAT BEING SAID CURRENT ELECTION MANAGERS ARE PROVIDING DATA WE CAN FIND. THANKS FOR YOU PATIENCE!",22369,52643,,138,,96,96,0,1,0,1,,406,0,,406,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
801300000,BOULDER COUNTY,COLORADO,CO,179882,,2460,7772,,235,,15,13,2,15,13,2,,206,206,,261,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
803100000,DENVER COUNTY,COLORADO,CO,315617,,5269,14040,,356,,30,30,0,30,30,0,,400,393,,723,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
804100000,EL PASO COUNTY,COLORADO,CO,283332,,2952,8175,,282,,28,28,0,28,28,0,,366,163,,426,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
809100000,OURAY COUNTY,COLORADO,CO,3319,,20,101,,5,,1,0,1,1,0,1,,10,10,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
811700000,SUMMIT COUNTY,COLORADO,CO,14652,,316,977,,20,,3,2,1,1,0,1,,21,16,,45,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1201100000,BROWARD COUNTY,FLORIDA,FL,720585,,224151,299312,,577,,410,409,1,22,20,2,,4730,650,,5380,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1205300000,HERNANDO COUNTY,FLORIDA,FL,81412,,30359,17141,,32,,32,32,Does not apply,4,3,1,,305,60,,365,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1207900000,MADISON COUNTY,FLORIDA,FL,7670,,3181,3298,,11,,11,11,Data not available,4,4,0,,58,20,,58,Data not available,Data not available,2,11,25,20,,
1209300000,OKEECHOBEE COUNTY,FLORIDA,FL,11390,,4825,4074,,11,,11,11,0,1,0,1,,72,23,,72,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1209500000,ORANGE COUNTY,FLORIDA,FL,481161,,163092,177641,,247,,205,205,0,16,15,1,"D4A:  42 ELECTION DAY/PHYSICAL POLLING PLACES HOUSED 2 SEPARATE POLLING PLACES.  D5C:THE ELECTIONS OFFICE WAS NOT A POLLING LOCATION ON ELECTION DAY, HOWEVER VOTERS WERE ALLOWED TO THERE BY ABSENTEE BALLOT, IF NEEDED.",2126,213,,2339,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1210700000,PUTNAM COUNTY,FLORIDA,FL,28313,,13091,9382,,35,,21,21,0,3,2,1,,180,25,,180,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1210900000,ST. JOHNS COUNTY,FLORIDA,FL,131696,,46767,55032,,46,,38,38,0,7,6,1,,348,249,,369,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1600100000,ADA COUNTY,IDAHO,ID,192303,,129972,62331,,150,,143,142,1,4,3,1,,1113,38,,1151,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1600300000,ADAMS COUNTY,IDAHO,ID,1917,,1422,495,,7,,4,2,2,1,0,1,,35,0,,35,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1601300000,BLAINE COUNTY,IDAHO,ID,10586,,5451,5135,,17,,7,7,0,1,0,1,,68,5,,73,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1601500000,BOISE COUNTY,IDAHO,ID,3514,,2807,707,,7,,6,6,0,1,0,1,,60,4,,64,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1601700000,BONNER COUNTY,IDAHO,ID,18853,,13924,4929,,32,,31,30,1,1,0,1,,220,6,,226,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1601900000,BONNEVILLE COUNTY,IDAHO,ID,35718,,28113,7605,,51,,51,50,1,1,0,1,,395,50,,445,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1602100000,BOUNDARY COUNTY,IDAHO,ID,4334,,3031,1303,,7,,4,4,0,1,0,1,,30,4,,34,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1602700000,CANYON COUNTY,IDAHO,ID,64247,,50342,13905,,64,,56,56,0,1,0,1,,441,8,,449,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1603300000,CLARK COUNTY,IDAHO,ID,259,,217,42,,3,,2,1,1,1,0,1,,9,0,,9,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1603500000,CLEARWATER COUNTY,IDAHO,ID,3232,,2443,789,,15,,15,10,5,1,0,1,,54,4,,58,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1603700000,CUSTER COUNTY,IDAHO,ID,2183,,1537,646,,9,,6,5,1,1,0,1,,66,0,,66,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1604100000,FRANKLIN COUNTY,IDAHO,ID,3903,,3523,380,,18,,15,15,0,1,0,1,,45,4,,49,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1608500000,VALLEY COUNTY,IDAHO,ID,5265,,3415,1850,,8,,4,3,1,1,0,1,,43,0,,43,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1700100000,ADAMS COUNTY,ILLINOIS,IL,25260,,18234,5173,,74,,34,34,0,1,0,1,,211,12,,223,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1700300000,ALEXANDER COUNTY,ILLINOIS,IL,2235,,1811,187,,11,,12,11,1,1,0,1,,31,0,CLERK STAFF,31,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1700500000,BOND COUNTY,ILLINOIS,IL,6723,,4846,1391,,25,,16,15,1,1,0,1,,125,0,CLERK STAFF,125,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1700700000,BOONE COUNTY,ILLINOIS,IL,18286,,14512,2592,,38,,31,1,30,1,0,1,,174,0,CLERK STAFF,174,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1700900000,BROWN COUNTY,ILLINOIS,IL,1934,,1522,300,,14,,9,9,0,1,0,1,,70,5,,75,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1701100000,BUREAU COUNTY,ILLINOIS,IL,13726,,10854,2758,,50,,37,36,1,3,2,1,,164,17,,181,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1701300000,CALHOUN COUNTY,ILLINOIS,IL,2377,,1830,324,,7,,6,5,1,1,0,1,,34,3,,37,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1701500000,CARROLL COUNTY,ILLINOIS,IL,6039,,4881,712,,22,,23,22,1,1,0,1,,85,0,CLERK STAFF,85,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1701700000,CASS COUNTY,ILLINOIS,IL,4745,,3594,723,,21,,9,8,1,2,1,1,,105,6,,111,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1701900000,CHAMPAIGN COUNTY,ILLINOIS,IL,86767,,46922,23623,,118,,103,94,1,9,8,1,,536,25,,561,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1702100000,CHRISTIAN COUNTY,ILLINOIS,IL,13128,,10263,1784,,30,,24,23,1,1,0,1,,140,2,,142,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1702300000,CLARK COUNTY,ILLINOIS,IL,6248,,4673,1231,,23,,16,15,1,1,0,1,,111,2,,113,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1702500000,CLAY COUNTY,ILLINOIS,IL,4628,,3933,406,,22,,15,0,15,1,0,1,,102,3,,105,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1702700000,CLINTON COUNTY,ILLINOIS,IL,14269,,12760,894,,39,,21,20,1,21,20,1,,185,3,,188,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1702900000,COLES COUNTY,ILLINOIS,IL,17398,,12887,3210,,44,,28,26,2,3,1,2,,176,10,,186,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1703100000,COOK COUNTY,ILLINOIS,IL,883457,,489936,271477,,1599,,988,981,7,53,46,7,,7306,330,,7636,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1703300000,CRAWFORD COUNTY,ILLINOIS,IL,7022,,5432,1225,,24,,17,17,0,1,1,1,,107,5,,112,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1703500000,CUMBERLAND COUNTY,ILLINOIS,IL,4400,,3778,462,,12,,9,8,1,1,0,1,,60,6,,66,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1703700000,DE KALB COUNTY,ILLINOIS,IL,39343,,25720,8515,,65,,41,41,0,5,4,1,,362,46,,408,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1703900000,DE WITT COUNTY,ILLINOIS,IL,6285,,5379,574,,23,,15,14,1,1,0,1,,77,0,CLERK STAFF,77,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1704100000,DOUGLAS COUNTY,ILLINOIS,IL,6499,,5357,716,,17,,11,10,1,1,0,1,,85,0,CLERK STAFF,85,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1704300000,DU PAGE COUNTY,ILLINOIS,IL,506843,,370249,89766,,930,,269,268,1,11,10,1,,2018,241,,2259,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1704500000,EDGAR COUNTY,ILLINOIS,IL,1764,,139,1108,,31,,11,10,1,1,0,1,,41,3,,44,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1704700000,EDWARDS COUNTY,ILLINOIS,IL,2880,,2465,321,,12,,7,6,1,1,0,1,,59,0,CLERK STAFF,59,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1704900000,EFFINGHAM COUNTY,ILLINOIS,IL,14721,,11790,2145,,37,,29,28,1,1,0,1,,182,0,CLERK STAFF,182,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1705100000,FAYETTE COUNTY,ILLINOIS,IL,8012,,6669,852,,28,,22,0,1,1,1,1,,146,2,,148,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1705300000,FORD COUNTY,ILLINOIS,IL,5040,,4281,373,,22,,14,13,1,14,13,1,,64,0,CLERK STAFF,64,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1705500000,FRANKLIN COUNTY,ILLINOIS,IL,18965,,15451,2320,,35,,24,23,1,1,0,1,,175,4,,179,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1705700000,FULTON COUNTY,ILLINOIS,IL,12726,,11117,659,,57,,33,33,0,1,0,1,,178,3,,181,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1705900000,GALLATIN COUNTY,ILLINOIS,IL,2205,,1740,326,,11,,10,10,0,1,0,1,,45,3,,48,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1706100000,GREENE COUNTY,ILLINOIS,IL,4439,,3612,494,,22,,23,18,1,1,0,1,,108,0,CLERK STAFF,108,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1706300000,GRUNDY COUNTY,ILLINOIS,IL,19646,,14874,3194,,40,,27,26,1,1,0,1,,155,55,,210,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1706500000,HAMILTON COUNTY,ILLINOIS,IL,3676,,2664,778,,16,,14,13,1,1,0,1,,82,0,CLERK STAFF,82,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1706613000,BLOOMINGTON CITY,ILLINOIS,IL,31626,,20245,5787,,52,,24,23,1,1,0,1,,194,12,,206,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1706700000,HANCOCK COUNTY,ILLINOIS,IL,7146,,6200,534,,33,,30,29,1,1,0,1,,144,4,,148,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1706900000,HARDIN COUNTY,ILLINOIS,IL,1772,,1280,334,,6,,6,0,1,1,0,1,,35,5,,40,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1707100000,HENDERSON COUNTY,ILLINOIS,IL,2736,,2297,300,,13,,13,13,0,1,0,1,,64,3,,67,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1707300000,HENRY COUNTY,ILLINOIS,IL,19750,,16784,1230,,52,,47,46,1,1,0,1,,260,2,,262,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1707500000,IROQUOIS COUNTY,ILLINOIS,IL,10388,,8906,797,,37,,35,34,1,1,0,1,,152,0,CLERK STAFF,152,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1707700000,JACKSON COUNTY,ILLINOIS,IL,20262,,14849,3161,,56,,44,43,1,3,2,1,,253,7,,260,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1707900000,JASPER COUNTY,ILLINOIS,IL,4716,,3789,735,,16,,13,12,1,1,0,1,,0,2,,2,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1708100000,JEFFERSON COUNTY,ILLINOIS,IL,14264,,11431,1815,,33,,32,31,1,1,0,1,,161,3,,164,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1708300000,JERSEY COUNTY,ILLINOIS,IL,8905,,6868,1477,,25,,16,15,1,1,0,0,,115,4,,119,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1708500000,JO DAVIESS COUNTY,ILLINOIS,IL,9414,,7165,1602,,29,,23,22,1,1,0,1,,110,2,,112,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1708700000,JOHNSON COUNTY,ILLINOIS,IL,5342,,3947,989,,16,,13,12,1,4,3,1,,77,3,,80,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1708900000,KANE COUNTY,ILLINOIS,IL,172056,,89235,64565,,291,,113,112,1,20,19,1,,785,80,,865,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1709100000,KANKAKEE COUNTY,ILLINOIS,IL,37010,,26674,6474,,68,,63,62,1,3,2,1,,296,5,,301,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1709300000,KENDALL COUNTY,ILLINOIS,IL,46201,,32630,9915,,87,,50,49,1,3,2,1,,376,19,,395,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1709500000,KNOX COUNTY,ILLINOIS,IL,8265,,7029,710,,31,,26,25,1,1,0,1,,110,2,,112,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1709700000,LAKE COUNTY,ILLINOIS,IL,255674,,136250,73996,,415,,122,121,1,16,15,1,,1338,154,,1492,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1709900000,LA SALLE COUNTY,ILLINOIS,IL,95263,,40691,4294,,119,,77,76,1,1,0,1,,437,4,,441,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1710100000,LAWRENCE COUNTY,ILLINOIS,IL,4410,,3680,457,,24,,17,17,0,1,0,1,,123,0,CLERK STAFF,123,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1710300000,LEE COUNTY,ILLINOIS,IL,12742,,9304,2456,,49,,17,16,1,1,0,1,,129,1,,130,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1710500000,LIVINGSTON COUNTY,ILLINOIS,IL,14155,,12261,1184,,47,,47,46,1,1,0,1,,166,7,,173,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
1710700000,LOGAN COUNTY,ILLINOIS,IL,10342,,8419,1045,,29,,19,18,1,1,0,1,,121,0,CLERK STAFF,121,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,,
