FIPSCode,Jurisdiction_Name,State_Full,State_Abbr,D1a,D1Comments,D2a,D2b,D2Comments,D3a,D3Comments,D4a,D4b,D4c,D5a,D5b,D5c,D4_D5Comments,D6,D7,D6_D7Comments,D8a,D8b,D8c,D8d,D8e,D8f,D8g,string_field_28,string_field_29
607100000,SAN BERNARDINO COUNTY,CALIFORNIA,CA,546041,NUMBER FROM STATEMENT OF VOTES CAST (DOES NOT INCLUDE CHALLENGED BALLOTS IN ANY CATEGORY),171595,6665,"D2A = PRECINCT TURNOUT MINUS PROVISIONAL BALLOTS COUNTED (209,168 - 37,573)",2209,,402,402,0,6,5,1,THE ELECTION OFFICE IS CONSIDERED AN EARLY VOTE SITE. VOTERS ARE NOT ASSIGNED TO THIS LOCATION AS A POLLING PLACE.,3127,86,"TEMPORARY STAFF ARE HIRED FOR EARLY VOTING SITES. DUE TO THE LENGTH OF THE ASSIGNMENT, POLL WORKERS ARE NOT USED.",3127,591,222,382,807,672,453,,
607300000,SAN DIEGO COUNTY,CALIFORNIA,CA,1173924,,369655,9514,,1542,N/A FOR VBM FOR D3-D5,1333,1332,1,1,0,1,,6374,0,,6374,1172,479,805,1493,1488,937,,
607500000,SAN FRANCISCO COUNTY,CALIFORNIA,CA,370439,,98313,15793,,650,,588,587,1,1,0,1,,2489,0,,2489,464,246,379,576,483,341,,
607700000,SAN JOAQUIN COUNTY,CALIFORNIA,CA,196698,,40773,139857,,485,,233,232,1,1,Data not available,1,,1561,0,,1561,489,202,114,262,280,214,,
608500000,SANTA CLARA COUNTY,CALIFORNIA,CA,625462,,110302,12216,,1098,,850,849,1,8,7,1,,4820,68,,4820,451,239,437,1496,1280,917,,
608900000,SHASTA COUNTY,CALIFORNIA,CA,70851,,17500,744,,371,,84,76,1,1,0,1,,347,Data not available,,347,15,10,28,85,114,95,,
609500000,SOLANO COUNTY,CALIFORNIA,CA,47089,,45829,1260,,205,,93,92,1,1,0,1,,997,12,,1009,12,128,97,275,449,48,,
610700000,TULARE COUNTY,CALIFORNIA,CA,101066,,27010,1674,,274,,50,49,1,1,0,1,D5A ANSWER IS 1; OUR OFFICE WAS OPEN AS AN EARLY VOTING LOCATION PRIOR TO ELECTION DAY AND WE DID NOT HAVE ANY POLL PLACES OPEN FOR EARLY VOTING. D2B ANSWER (EARLY VOTING) OCCURRED AT D5C.,498,0,D7 ANSWER IS 0. COUNTY STAFF MEMBERS WORKED IN THE OFFICE TO FACILITATE EARLY VOTING NEEDS.,498,5,50,56,117,99,94,,
800500000,ARAPAHOE COUNTY,COLORADO,CO,277268,,4080,11914,,390,,28,28,0,28,28,0,,267,255,,401,49,7,10,82,147,106,,
806900000,LARIMER COUNTY,COLORADO,CO,183782,,2922,8996,,203,,15,14,1,8,7,1,,310,168,,484,61,8,16,84,179,136,,
1000100000,KENT COUNTY,DELAWARE,DE,60230,,57072,1268,,90,,43,43,0,1,0,1,"TRUE ""0""",871,14,,885,44,42,66,300,223,210,,
1000300000,NEW CASTLE COUNTY,DELAWARE,DE,212978,,203798,2008,,271,,179,179,0,2,0,2,"TRUE ""0""",2362,6,,2368,274,169,190,686,608,441,,
1000500000,SUSSEX COUNTY,DELAWARE,DE,93342,,85980,2249,,73,,64,64,0,1,0,1,"TRUE ""0""",872,8,,872,13,46,54,211,290,258,,
1100100000,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,231700,,168546,52512,,143,,140,140,0,14,14,0,,1694,601,,1694,93,91,238,528,500,244,,
1200100000,ALACHUA COUNTY,FLORIDA,FL,116963,,43566,40883,,63,,62,62,0,6,5,1,,435,91,,526,0,17,26,98,221,164,,
1200900000,BREVARD COUNTY,FLORIDA,FL,284989,,113600,80060,,174,,115,115,Data not available,11,7,4,,1180,129,,1180,0,26,44,241,431,438,,
1201900000,CLAY COUNTY,FLORIDA,FL,94038,,36388,37424,,47,,45,45,0,6,5,1,,317,118,,540,10,15,27,141,194,153,,
1204500000,GULF COUNTY,FLORIDA,FL,5950,,1385,3338,,10,,2,2,1,2,2,1,"DUE TO THE EFFECTS OF HURRICANE MICHAEL, POLLING LOCATIONS DAMAGED OR DESTROYED, GULF COUNTY WAS ONE OF 8 COUNTIES ISSUED AN EXECUTIVE ORDER GRANTING THE AUTHORITY TO CREATE  SUPER VOTING CENTERS  TO COMPENSATE. GULF COUNTY HAD 2 SUPER CENTERS FOR THE DURATION OF EARLY VOTING AND ON ELECTION DAY",12,12,SEE D5 COMMENTS,,,,,5,7,,,
1204900000,HARDEE COUNTY,FLORIDA,FL,6461,,2653,2483,,12,,12,12,0,1,0,1,,80,5,,80,Does not apply,10,0,20,50,0,,
1205700000,HILLSBOROUGH COUNTY,FLORIDA,FL,527294,,166129,172853,,390,,275,271,4,20,18,2,,2171,578,,2749,0,80,152,727,1002,788,,
1206900000,LAKE COUNTY,FLORIDA,FL,156339,,66866,55982,,102,,96,96,0,10,9,1,,801,274,,801,0,6,15,143,279,358,,
1207100000,LEE COUNTY,FLORIDA,FL,294541,,75799,67760,,127,,124,121,3,10,7,3,,1356,218,,1529,3,6,37,220,575,688,,
1207300000,LEON COUNTY,FLORIDA,FL,141111,,57555,56119,,155,,86,86,0,9,8,1,,915,60,,864,0,15,66,247,292,244,,
1207500000,LEVY COUNTY,FLORIDA,FL,17208,,8291,3443,,13,,13,13,0,1,0,1,,104,32,,104,2,7,8,33,32,22,,
1208500000,MARTIN COUNTY,FLORIDA,FL,78591,,26746,24001,,30,,30,30,0,7,6,1,,213,79,,292,10,25,16,43,87,111,,
1208600000,MIAMI-DADE COUNTY,FLORIDA,FL,813221,,241017,302068,,907,,575,575,0,28,27,1,,6108,489,,6597,8,171,819,2680,1606,1313,,
1208700000,MONROE COUNTY,FLORIDA,FL,36586,,13505,9639,,33,,27,27,0,5,2,3,,255,20,,255,0,8,16,68,89,74,,
1209700000,OSCEOLA COUNTY,FLORIDA,FL,116475,,37311,35088,,95,,41,41,0,6,5,1,,373,161,,373,7,12,34,124,106,90,,
1209900000,PALM BEACH COUNTY,FLORIDA,FL,596136,,263804,174909,,871,,467,463,4,14,13,1,,2975,424,,3399,Does not apply,38,186,659,856,1352,,
1210100000,PASCO COUNTY,FLORIDA,FL,213442,,87599,56635,,110,,110,110,0,11,10,1,,1043,313,,1043,0,7,39,155,348,494,,
1210300000,PINELLAS COUNTY,FLORIDA,FL,440508,,142961,57905,,301,,193,192,1,5,2,3,ELECTION DAY EMERGENCY PICK UPS WERE PROVIDED AT 3 ELECTIONS OFFICES.,1904,175,,2079,1,23,69,423,774,789,,
1210500000,POLK COUNTY,FLORIDA,FL,247331,,112574,54407,,167,,147,147,0,9,9,0,,1263,141,,1263,0,33,63,284,434,449,,
1211300000,SANTA ROSA COUNTY,FLORIDA,FL,76259,,33818,27345,,41,,31,31,0,4,2,2,,323,149,,574,0,8,34,115,212,205,,
1211500000,SARASOTA COUNTY,FLORIDA,FL,213220,,71689,58824,BOTH D2A. AND D2B. DO NOT INCLUDE PROVISIONAL BALLOTS.,99,,83,83,0,6,3,3,,697,187,,697,25,9,4,57,244,358,,
1211700000,SEMINOLE COUNTY,FLORIDA,FL,200926,,67636,77445,,80,,80,80,0,7,6,1,,567,161,,563,1,7,21,165,211,158,,
1212700000,VOLUSIA COUNTY,FLORIDA,FL,231118,,87652,63638,,125,,98,98,0,5,5,0,THE EV SITE FOR THE SOE OFFICE WAS MOVED TO THE COUNTY ADMINISTRATION BUILDING FOR ADA COMPLIANCE.,700,150,,688,0,8,32,132,240,276,,
1300100000,APPLING COUNTY,GEORGIA,GA,6831,,2987,3304,,9,,9,Data not available,Data not available,1,Data not available,Data not available,,Data not available,Data not available,,45,9,7,0,0,26,3,,
1301300000,BARROW COUNTY,GEORGIA,GA,27449,,13938,12243,,16,,16,Data not available,Data not available,1,Data not available,Data not available,,Data not available,Data not available,,116,1,15,15,42,25,18,,
1301500000,BARTOW COUNTY,GEORGIA,GA,37396,,19626,16204,,16,,16,Data not available,Data not available,4,Data not available,Data not available,,Data not available,Data not available,,143,13,10,9,33,38,40,,
1302100000,BIBB COUNTY,GEORGIA,GA,60631,,29892,26250,,31,,31,Data not available,Data not available,1,Data not available,Data not available,,Data not available,Data not available,,212,1,8,20,49,86,48,,
1304700000,CATOOSA COUNTY,GEORGIA,GA,23805,,9548,13717,,11,,11,Data not available,Data not available,2,Data not available,Data not available,,Data not available,Data not available,,59,0,6,8,11,19,15,,
1304900000,CHARLTON COUNTY,GEORGIA,GA,3385,,1664,1555,,8,,8,Data not available,Data not available,2,Data not available,Data not available,,Data not available,Data not available,,28,1,7,0,8,3,9,,
1305100000,CHATHAM COUNTY,GEORGIA,GA,103607,,64999,32403,,90,,90,Data not available,Data not available,5,Data not available,Data not available,,Data not available,Data not available,,584,6,23,39,135,182,199,,
1305900000,CLARKE COUNTY,GEORGIA,GA,43489,,20363,19993,,24,,20,Data not available,Data not available,4,Data not available,Data not available,,Data not available,Data not available,,162,2,15,15,44,58,28,,
1306300000,CLAYTON COUNTY,GEORGIA,GA,92300,,38672,47753,,58,,58,Data not available,Data not available,6,Data not available,Data not available,,Data not available,Data not available,,420,5,8,42,210,147,8,,
1306700000,COBB COUNTY,GEORGIA,GA,310997,,173364,111530,,141,,141,Data not available,Data not available,11,Data not available,Data not available,,Data not available,Data not available,,1290,39,34,60,323,513,321,,
1306900000,COFFEE COUNTY,GEORGIA,GA,12645,,4558,7689,,6,,6,Data not available,Data not available,1,Data not available,Data not available,,Data not available,Data not available,,36,7,7,7,15,0,0,,
1307100000,COLQUITT COUNTY,GEORGIA,GA,12993,,6380,6085,,19,,19,Data not available,Data not available,1,Data not available,Data not available,,Data not available,Data not available,,96,0,10,15,20,25,26,,
1308900000,DEKALB COUNTY,GEORGIA,GA,313713,,142853,150676,,191,,176,Data not available,Data not available,11,Data not available,Data not available,,Data not available,Data not available,,1243,7,46,109,328,474,279,,
1309500000,DOUGHERTY COUNTY,GEORGIA,GA,31170,,18080,11210,,28,,28,Data not available,Data not available,2,Data not available,Data not available,,Data not available,Data not available,,200,0,10,22,52,72,44,,
