State,Jurisdiction,FIPSCode,QD1a,QD1_Comment,QD2a,QD2b,QD2c,QD2d,QD2_Other,QD2e,QD2f,QD2g,QD2_Total,QD2g_Other,QD2_Comment,QD3a,QD3_Comment,QD4a,QD4b,QD4c,QD4d,QD4e,QD4f,QD4_Total,QD4_Comment,QD5,QD5_Comment
WI,CITY OF MADISON - 13251 -  WARD 101,5502573925,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,24,,1,1,2,18,2,0,24,,Somewhat easy,
WI,CITY OF MADISON - 13251 -  WARD 102,5502573926,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,24,,1,1,2,18,2,0,24,,Somewhat easy,
WI,CITY OF MADISON - 13251 -  WARD 105,5502573929,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,30,,4,0,5,6,10,5,30,,Somewhat easy,
WI,CITY OF MADISON - 13251 -  WARD 107,5502573931,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,30,,4,0,5,6,10,5,30,,Somewhat easy,
WI,VILLAGE OF DEFOREST - 13118 -  WARD 2,5502573978,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,33,,0,0,1,15,11,6,33,,Somewhat easy,
WI,VILLAGE OF DEFOREST - 13118 -  WARD 11,5502573979,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,31,,0,1,2,9,10,9,31,,Somewhat easy,
WI,VILLAGE OF DEFOREST - 13118 -  WARD 13,5502573980,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,31,,0,1,2,9,10,9,31,,Somewhat easy,
WI,"VILLAGE OF DEFOREST - 13118 -  WARD 1, 3-6",5502573981,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,27,,0,0,1,15,11,6,33,,Somewhat easy,
WI,"VILLAGE OF DEFOREST - 13118 -  WARD 7-10, 12",5502573982,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,31,,0,1,2,9,10,9,31,,Somewhat easy,
WI,TOWN OF MIDDLETON - 13038 -  WARDS 1- 8,5502574038,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,55,,3,4,2,17,21,8,55,,Very easy,
WI,TOWN OF WINDSOR - 13068 -  Wards 1-2,5502574052,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,45,,0,1,3,7,28,6,45,,Very easy,
WI,TOWN OF WINDSOR - 13068 -  Wards 3-5,5502574053,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,45,,0,1,3,7,28,6,45,,Very easy,
WI,TOWN OF WINDSOR - 13068 -  Wards 6-10,5502574054,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,45,,0,1,3,7,28,6,45,,Very easy,
WI,CITY OF SUN PRAIRIE - 13282 -  WARDS 1-5,5502574548,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,49,,5,3,2,8,17,12,47,,Very easy,
WI,CITY OF SUN PRAIRIE - 13282 -  WARDS 6-9,5502574549,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,48,,13,0,0,4,18,13,48,,Very easy,
WI,CITY OF SUN PRAIRIE - 13282 -  WARDS 10-14,5502574550,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,46,,17,1,1,6,6,15,46,,Very easy,
WI,CITY OF SUN PRAIRIE - 13282 -  WARDS 15-19,5502574551,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,49,,5,3,2,8,17,12,47,,Very easy,
WI,TOWN OF WASHINGTON - 18024 -  Wards 1-13,5503572516,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,30,,0,0,1,10,13,4,28,,Somewhat easy,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 3,5503575391,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,33,,0,0,1,6,14,12,33,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 4,5503575392,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,4,0,2,3,19,1,29,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 5,5503575393,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,4,0,2,3,19,1,29,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 8,5503575396,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,27,,0,0,0,5,8,14,27,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 11,5503575399,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,27,,3,1,2,3,10,8,27,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 12,5503575400,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,27,,0,0,0,5,8,14,27,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 13,5503575401,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,27,,0,0,0,5,8,14,27,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 14,5503575402,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,2,3,1,5,12,6,29,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 15,5503575403,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,24,,0,0,2,5,9,8,24,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 18,5503575405,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,27,,3,0,0,7,10,7,27,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 19,5503575406,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,2,3,1,5,12,6,29,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 20,5503575407,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,33,,2,5,1,10,7,8,33,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 24,5503575411,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,33,,2,5,1,10,7,8,33,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 25,5503575412,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,1,1,0,3,15,9,29,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 26,5503575413,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,1,1,0,3,15,9,29,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 27,5503575414,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,1,1,0,3,15,9,29,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 28,5503575415,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,1,0,2,5,16,5,29,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 30,5503575417,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,33,,0,0,1,6,14,12,33,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 31,5503575418,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,27,,0,0,2,5,13,7,27,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 32,5503575419,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,27,,0,0,2,5,13,7,27,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 33,5503575420,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,2,1,0,6,5,15,29,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 34,5503575421,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,33,,0,1,2,10,10,10,33,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 35,5503575422,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,24,,0,0,2,5,9,8,24,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 36,5503575423,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,27,,3,1,2,3,10,8,27,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 37,5503575424,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,27,,3,1,2,3,10,8,27,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 38,5503575425,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,1,0,2,5,16,5,29,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 39,5503575426,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,2,1,0,6,5,15,29,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 42,5503575427,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,4,0,2,3,19,1,29,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 43,5503575428,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,27,,3,0,0,7,10,7,27,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 44,5503575429,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,2,1,0,6,5,15,29,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 45,5503575430,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,2,3,1,5,12,6,29,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 46,5503575431,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,33,,0,1,2,10,10,10,33,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 48,5503575433,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,1,0,2,5,16,5,29,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 49,5503575434,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,27,,3,0,0,7,10,7,27,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 52,5503575437,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,1,1,0,3,15,9,29,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 53,5503575438,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,1,0,2,5,16,5,29,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 55,5503575440,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,2,3,1,5,12,6,29,,Very difficult,
WI,CITY OF EAU CLAIRE - MAIN - 18221 -  Ward 1,5503575441,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,33,,0,1,2,10,10,10,33,,Very difficult,
WI,CITY OF MONROE - 23251 -  wards 1 - 9,5504574789,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,27,,0,0,0,3,8,16,27,,Somewhat easy,
WI,CITY OF JEFFERSON - 28241 -  WARDS 1-10,5505574696,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,46,,0,0,0,5,17,24,46,,Neither difficult nor easy,
WI,CITY OF LAKE MILLS - 28246 -  Wards 1-8,5505574855,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,28,,0,0,2,15,5,6,28,,Somewhat easy,
WI,VILLAGE OF TWIN LAKES - 30186 -  Wards 1 - 8,5505975329,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,26,,2,0,0,5,7,12,26,,Somewhat easy,
WI,VILLAGE OF HOLMEN - 32136 -  Wards 1-11,5506371816,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,24,,0,0,2,4,8,10,24,,Somewhat easy,
WI,TOWN OF HOLLAND - 32016 -  Wards 1-6,5506372503,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,25,,0,0,3,10,7,4,24,,Somewhat easy,
WI,CITY OF KIEL - MAIN - 36241 -  Wards 1-6 & 8,5507174830,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,26,,0,0,0,1,5,20,26,,Somewhat easy,
WI,CITY OF WAUSAU - 37291 -  WARD 6,5507371969,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,26,,1,0,1,6,9,9,26,,Very difficult,
WI,CITY OF WAUSAU - 37291 -  WARD 7,5507371970,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,24,,0,0,1,6,7,10,24,,Very difficult,
WI,CITY OF WAUSAU - 37291 -  WARD 8,5507371971,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,26,,1,0,1,6,9,9,26,,Very difficult,
WI,CITY OF WAUSAU - 37291 -  WARD 10,5507371973,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,24,,0,0,1,6,7,10,24,,Very difficult,
WI,CITY OF WAUSAU - 37291 -  WARD 12,5507371975,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,24,,0,0,1,6,7,10,24,,Very difficult,
WI,CITY OF WAUSAU - 37291 -  WARD 13,5507371976,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,24,,0,0,1,6,7,10,24,,Very difficult,
WI,CITY OF WAUSAU - 37291 -  WARD 14,5507371977,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,24,,0,0,1,6,7,10,24,,Very difficult,
WI,CITY OF WAUSAU - 37291 -  WARD 17,5507371980,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,26,,0,2,3,8,6,7,26,,Very difficult,
WI,CITY OF WAUSAU - 37291 -  WARD 18,5507371981,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,26,,0,2,3,8,6,7,26,,Very difficult,
WI,CITY OF WAUSAU - 37291 -  WARD 19,5507371982,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,26,,0,2,3,8,6,7,26,,Very difficult,
WI,CITY OF WAUSAU - 37291 -  WARD 20,5507371983,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,26,,0,2,3,8,6,7,26,,Very difficult,
WI,CITY OF WAUSAU - 37291 -  WARD 21,5507371984,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,26,,1,0,1,6,9,9,26,,Very difficult,
WI,CITY OF WAUSAU - 37291 -  WARD 22,5507371985,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,26,,1,0,1,6,9,9,26,,Very difficult,
WI,CITY OF WAUSAU - 37291 -  WARD 23,5507371986,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,28,,0,1,1,3,14,9,28,,Very difficult,
WI,CITY OF WAUSAU - 37291 -  WARD 24,5507371987,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,28,,0,1,1,3,14,9,28,,Very difficult,
WI,CITY OF WAUSAU - 37291 -  WARD 25,5507371988,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,28,,0,1,1,3,14,9,28,,Very difficult,
WI,CITY OF WAUSAU - 37291 -  WARD 26,5507371989,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,28,,0,1,1,3,14,9,28,,Very difficult,
WI,CITY OF WAUSAU - 37291 -  WARD 27,5507371990,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,28,,0,1,1,3,14,9,28,,Very difficult,
WI,CITY OF WAUSAU - 37291 -  WARD 28,5507371991,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,28,,0,1,1,3,14,9,28,,Very difficult,
WI,VILLAGE OF ROTHSCHILD - 37176 -  WARD  3 & 4,5507375267,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,1,,0,0,0,0,1,0,1,,Neither difficult nor easy,
WI,VILLAGE OF ROTHSCHILD - 37176 -  WARD 1 & 2,5507375268,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,3,,0,0,0,0,1,0,1,,Neither difficult nor easy,
WI,VILLAGE OF ROTHSCHILD - 37176 -  WARD 5 & 6,5507375269,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,1,,0,0,0,0,0,1,1,,Neither difficult nor easy,
WI,"TOWN OF PESHTIGO - 38024 -  Wards 1, 2, 3, 4, 5, 6",5507574456,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,24,,0,0,4,13,4,3,24,,Somewhat difficult,
WI,VILLAGE OF WHITEFISH BAY - 41192 -  Wards 1 - 2,5507971193,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,42,,0,0,0,4,24,14,42,,Somewhat difficult,
WI,VILLAGE OF WHITEFISH BAY - 41192 -  Wards 3 - 4,5507971194,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,42,,0,0,0,4,24,14,42,,Somewhat difficult,
WI,VILLAGE OF WHITEFISH BAY - 41192 -  Wards 5 - 6,5507971195,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,42,,0,0,0,4,24,14,42,,Somewhat difficult,
WI,VILLAGE OF WHITEFISH BAY - 41192 -  Ward 7,5507971196,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,42,,0,0,0,4,24,14,42,,Somewhat difficult,
WI,VILLAGE OF WHITEFISH BAY - 41192 -  Wards 9 - 11,5507971197,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,42,,0,0,0,4,24,14,42,,Somewhat difficult,
WI,VILLAGE OF WHITEFISH BAY - 41192 -  Wards 8 - 10,5507971198,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,42,,0,0,0,4,24,14,42,,Somewhat difficult,
WI,VILLAGE OF WHITEFISH BAY - 41192 -  Ward 12,5507971199,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,42,,0,0,0,4,24,14,42,,Somewhat difficult,
WI,VILLAGE OF FOX POINT - 41126 -  WARDS 5-9,5507972202,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,27,,0,1,0,5,7,14,27,,Somewhat difficult,
WI,CITY OF MILWAUKEE - MAIN - 41251 -  WARD 153,5507974936,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,27,,0,1,9,10,5,2,27,,Very difficult,
WI,CITY OF MILWAUKEE - MAIN - 41251 -  WARD 190,5507974973,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,28,,0,12,12,2,2,0,28,,Very difficult,
WI,CITY OF MILWAUKEE - MAIN - 41251 -  WARD 243,5507975026,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,36,,0,3,5,12,12,4,36,,Very difficult,
WI,CITY OF MILWAUKEE - MAIN - 41251 -  WARD 252,5507975035,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,28,,0,2,6,9,8,3,28,,Very difficult,
WI,CITY OF MILWAUKEE - MAIN - 41251 -  WARD 095,5507975126,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,28,,0,1,3,14,5,5,28,,Very difficult,
WI,VILLAGE OF BAYSIDE - MAIN - 41106 -  Wards 1 & 3,5507975293,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,34,,0,3,0,4,12,15,34,,Somewhat difficult,
WI,VILLAGE OF BAYSIDE - MAIN - 41106 -  Wards 1s & 3s,5507975294,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,34,,0,3,0,4,12,15,34,,Very difficult,
WI,VILLAGE OF BAYSIDE - MAIN - 41106 -  Wards 2 & 4,5507975295,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,34,,0,3,0,4,12,15,34,,Somewhat difficult,
WI,VILLAGE OF BAYSIDE - MAIN - 41106 -  Ward 5,5507975296,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,34,,0,3,0,4,12,15,34,,Somewhat difficult,
WI,TOWN OF GREENVILLE - 45022 -  WARDS 1-3 &  5-8,5508771785,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,51,,0,0,10,30,15,2,57,,Somewhat difficult,
WI,TOWN OF GREENVILLE - 45022 -  WARDS 4 & 9,5508771786,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,51,,0,0,10,30,15,2,57,,Very difficult,
WI,TOWN OF BUCHANAN - 45006 -  Wards 1-10,5508772553,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,32,,0,0,1,9,16,6,32,,Very easy,
WI,VILLAGE OF KIMBERLY - 45141 -  WARDS 1-9,5508774849,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,31,,13,2,2,3,12,2,34,,Very easy,
WI,VILLAGE OF BAYSIDE - ALT - 46105 -  Ward 6,5508971364,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,34,,0,3,0,4,12,15,34,,Somewhat difficult,
WI,TOWN OF YORKVILLE - 52018 -  WARDS 1-5,5510173420,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,9,,0,0,1,0,0,0,1,,Very difficult,
WI,VILLAGE OF ROCHESTER - 52176 -  Wards 1 - 6,5510173612,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,24,,0,2,0,13,7,2,24,,Somewhat easy,
WI,TOWN OF NORWAY - 52010 -  WARDS 1-11,5510174695,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,29,,0,1,0,7,11,10,29,,Neither difficult nor easy,
WI,CITY OF JANESVILLE - 54241 -  WARD 7,5510571735,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,33,,6,1,3,8,7,8,33,,Somewhat easy,
WI,CITY OF JANESVILLE - 54241 -  WARD 8,5510571736,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,33,,6,1,3,8,7,8,33,,Somewhat easy,
WI,CITY OF JANESVILLE - 54241 -  WARD 9,5510571737,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,33,,6,1,3,8,7,8,33,,Somewhat easy,
WI,CITY OF JANESVILLE - 54241 -  WARD 10,5510571738,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,33,,6,1,3,8,7,8,33,,Somewhat easy,
WI,CITY OF JANESVILLE - 54241 -  WARD 14,5510571742,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,35,,6,0,1,5,10,13,35,,Somewhat easy,
WI,CITY OF JANESVILLE - 54241 -  WARD 16,5510571744,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,35,,6,0,1,5,10,13,35,,Somewhat easy,
WI,CITY OF JANESVILLE - 54241 -  WARD 17,5510571745,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,35,,6,0,1,5,10,13,35,,Somewhat easy,
WI,CITY OF JANESVILLE - 54241 -  WARD 18,5510571746,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,35,,6,0,1,5,10,13,35,,Somewhat easy,
WI,CITY OF JANESVILLE - 54241 -  WARD 19,5510571747,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,28,,6,0,2,7,8,5,28,,Somewhat easy,
WI,CITY OF JANESVILLE - 54241 -  WARD 20,5510571748,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,28,,6,0,2,7,8,5,28,,Somewhat easy,
WI,CITY OF JANESVILLE - 54241 -  WARD 21,5510571749,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,28,,6,0,2,7,8,5,28,,Somewhat easy,
WI,CITY OF JANESVILLE - 54241 -  WARD 22,5510571750,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,28,,6,0,2,7,8,5,28,,Somewhat easy,
WI,CITY OF MILTON - 54257 -  WARD 1-8,5510571893,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,24,,0,2,3,5,10,4,24,,Very easy,
WI,TOWN OF HUDSON - 56020 -  Wards 1-14,5510974609,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,28,,0,0,0,15,10,3,28,,Neither difficult nor easy,
WI,CITY OF PLYMOUTH - 60271 -  Wards 1-3,5511772337,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,35,,0,0,0,0,0,35,35,,Somewhat difficult,
WI,CITY OF PLYMOUTH - 60271 -  Wards 4-6,5511772338,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,35,,0,0,0,0,1,25,26,,Somewhat difficult,
WI,CITY OF PLYMOUTH - 60271 -  Wards 7-9,5511772339,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,35,,0,0,0,0,0,35,35,,Somewhat difficult,
WI,CITY OF PLYMOUTH - 60271 -  Wards 10-12,5511772340,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,35,,0,0,0,0,0,35,35,,Somewhat difficult,
WI,TOWN OF WILSON - 60030 -  WARDS 1-4,5511775324,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,31,,0,0,0,12,12,7,31,,Very easy,
WI,CITY OF ELKHORN - 65221 -  WARD 1-7,5512771853,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,31,,0,1,2,9,5,14,31,,Neither difficult nor easy,
WI,TOWN OF DELAVAN - 65006 -  Wards 1-11,5512772027,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,41,,0,0,1,3,17,20,41,,Neither difficult nor easy,
WI,TOWN OF EAST TROY - 65008 -  WARD 1,5512772660,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,36,,1,2,0,3,18,12,36,,Very easy,
WI,TOWN OF EAST TROY - 65008 -  WARDS 2 & 3,5512772661,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,36,,1,2,0,3,18,12,36,,Very easy,
WI,TOWN OF EAST TROY - 65008 -  WARDS 4-6,5512772662,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,36,,1,2,0,3,18,12,36,,Very easy,
WI,TOWN OF GENEVA - 65010 -  Wards 1-8,5512772793,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,26,,0,0,2,3,14,7,26,,Neither difficult nor easy,
WI,VILLAGE OF EAST TROY - 65121 -  Wards 1-5,5512773220,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,35,,6,3,0,11,4,11,35,,Very difficult,
WI,VILLAGE OF MUKWONAGO - ALT - 65153 -  WARD 11,5512773611,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,33,,0,0,2,10,21,0,33,,Very easy,
WI,"TOWN OF TRENTON - 67022 -  WDS 1,2,8",5513172504,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,39,,0,0,0,12,17,10,39,,Neither difficult nor easy,
WI,"TOWN OF TRENTON - 67022 -  WDS 3,4,5,6,7",5513172505,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,39,,0,0,0,12,17,10,39,,Neither difficult nor easy,
WI,CITY OF BROOKFIELD - 68206 -  WARD 1,5513372407,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,28,,0,0,0,6,13,9,28,,Neither difficult nor easy,
WI,CITY OF BROOKFIELD - 68206 -  WARD 2,5513372408,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,28,,0,0,0,6,13,9,28,,Neither difficult nor easy,
WI,CITY OF BROOKFIELD - 68206 -  WARD 3,5513372409,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,28,,0,0,0,6,13,9,28,,Neither difficult nor easy,
WI,CITY OF BROOKFIELD - 68206 -  WARD 4,5513372410,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,30,,0,0,0,6,10,14,30,,Neither difficult nor easy,
WI,CITY OF BROOKFIELD - 68206 -  WARD 5,5513372411,1,,1,1,-999999,-999999,,-999999,-999999,-999999,1,,,30,,0,0,0,6,10,14,30,,Neither difficult nor easy,
