"COUNTY","POLL PLACE ID","POLLING PLACE NAME","VOTER COUNT"
"ANDERSON","94334","1ST BAPTIST NECHES","16"
"ANDERSON","25633","1ST BAPTIST-ELKHART","17"
"ANDERSON","12261","ANTIOCH BAPTIST CHURCH BOX 8","15"
"ANDERSON","16266","CAYUGA HIGH SCHOOL","5"
"ANDERSON","5344","DAV POST","10"
"ANDERSON","97095","ENGLEDOW FARM & RANCH","6"
"ANDERSON","5345","FRANKSTON COURTHOUSE ANNEX","27"
"ANDERSON","30986","FREEDOM FELLOWSHIP CHURCH","13"
"ANDERSON","14624","HARMONY BAPTIST CHURCH","3"
"ANDERSON","5349","MONTALBA COMM CENTR","9"
"ANDERSON","32180","NEW FELLOWSHIP","27"
"ANDERSON","95605","PALESTINE CIVIC CENTER","9"
"ANDERSON","14628","PALESTINE HIGH SCHOOL","22"
"ANDERSON","5340","PISD ADMIN OFFICE","17"
"ANDERSON","5350","PISGAH BAPTIST CHURCH","12"
"ANDERSON","5331","SLOCUM HIGH SCHOOL","10"
"ANDERSON","14633","SWANSON HILL","2"
"ANDERSON","5338","TENN COLONY COMM CENTER","33"
"ANDERSON","14638","TUCKER COMM","15"
"ANDERSON","5334","WASHIGNTON EARLY CHILD","49"
"ANDERSON","5346","WESTWOOD JR. HIGH","36"
"ANDREWS","5352","JAMES ROBERTS CENTER","47"
"ANGELINA","32902","BETHEL ASSEMBLY OF GOD","20"
"ANGELINA","95223","BRANDON COMMUNITY CENTER","128"
"ANGELINA","30072","BURKE COMMUNITY CENTER","7"
"ANGELINA","5365","CHAMBERS PARK COMMUNITY CENTER","54"
"ANGELINA","24541","COMMUNITY SERVICES MEETING RM 104","33"
"ANGELINA","5360","CROSS ROAD BAPTIST CHURCH","12"
"ANGELINA","30071","DENMAN AVE BAPTIST CHURCH","36"
"ANGELINA","25359","DIBOLL CITY HALL","47"
"ANGELINA","5378","FAIRVIEW BAPTIST CHURCH","12"
"ANGELINA","5376","FELLOWSHIP HALL","16"
"ANGELINA","5390","FELLOWSHIP HALL","23"
"ANGELINA","94115","FIRST CHRISTIAN CHURCH","14"
"ANGELINA","5380","FIRST ORA MISSIONARY BAPTIST CHURCH","6"
"ANGELINA","5364","FULLER SPRINGS BAPTIST CHURCH","7"
