"COUNTY","POLL PLACE ID","POLLING PLACE NAME","VOTER COUNT"
"ANDERSON","94334","1ST BAPTIST NECHES","136"
"ANDERSON","25633","1ST BAPTIST-ELKHART","350"
"ANDERSON","12261","ANTIOCH BAPTIST CHURCH BOX 8","12"
"ANDERSON","16266","CAYUGA HIGH SCHOOL","141"
"ANDERSON","5344","DAV POST","85"
"ANDERSON","97095","ENGLEDOW FARM & RANCH","143"
"ANDERSON","5345","FRANKSTON COURTHOUSE ANNEX","366"
"ANDERSON","30986","FREEDOM FELLOWSHIP CHURCH","89"
"ANDERSON","14624","HARMONY BAPTIST CHURCH","59"
"ANDERSON","5349","MONTALBA COMM CENTR","229"
"ANDERSON","32180","NEW FELLOWSHIP","54"
"ANDERSON","95605","PALESTINE CIVIC CENTER","198"
"ANDERSON","14628","PALESTINE HIGH SCHOOL","155"
"ANDERSON","5340","PISD ADMIN OFFICE","134"
"ANDERSON","5350","PISGAH BAPTIST CHURCH","216"
"ANDERSON","5331","SLOCUM HIGH SCHOOL","279"
"ANDERSON","14633","SWANSON HILL","128"
"ANDERSON","5338","TENN COLONY COMM CENTER","234"
"ANDERSON","14638","TUCKER COMM","120"
"ANDERSON","5334","WASHIGNTON EARLY CHILD","18"
"ANDERSON","5346","WESTWOOD JR. HIGH","188"
"ANDREWS","5352","JAMES ROBERTS CENTER","1047"
"ANGELINA","32902","BETHEL ASSEMBLY OF GOD","246"
"ANGELINA","95223","BRANDON COMMUNITY CENTER","7"
"ANGELINA","30072","BURKE COMMUNITY CENTER","79"
"ANGELINA","5365","CHAMBERS PARK COMMUNITY CENTER","113"
"ANGELINA","24541","COMMUNITY SERVICES MEETING RM 104","157"
"ANGELINA","5360","CROSS ROAD BAPTIST CHURCH","214"
"ANGELINA","30071","DENMAN AVE BAPTIST CHURCH","136"
"ANGELINA","25359","DIBOLL CITY HALL","195"
"ANGELINA","5378","FAIRVIEW BAPTIST CHURCH","244"
"ANGELINA","5390","FELLOWSHIP HALL","141"
"ANGELINA","5376","FELLOWSHIP HALL","175"
"ANGELINA","94115","FIRST CHRISTIAN CHURCH","75"
"ANGELINA","5380","FIRST ORA MISSIONARY BAPTIST CHURCH","49"
"ANGELINA","5364","FULLER SPRINGS BAPTIST CHURCH","78"
"ANGELINA","5389","HARMONY HILL BAPTIST CHURCH","212"
"ANGELINA","17402","HUNTINGTON CIVIC CENTER","386"
"ANGELINA","96587","LA CASA DE ALFARERO / REDLAND BAPTIST CHURCH","59"
"ANGELINA","30066","LIFE GATE CHURCH GT (GLAD TIDINGS)","77"
"ANGELINA","94114","LIFE POINT CHURCH","166"
"ANGELINA","30068","LUFKIN RESTORATION CENTER","196"
"ANGELINA","30073","LUFKIN SHRINE CLUB","123"
"ANGELINA","5379","O'QUINN BAPTIST CHURCH","299"
